record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,EEEI,EE,,IAM,EE,10870,IT N,,,IAM,N59152650,E024110860,,00100,0,,001,WGE,AMARI,S,Simulation application continuation,UN,E0097,00100,73043,2102,SEEUD EEEIEE IAM   EE110870 IT N                   IAM N59152650E024110860     001000  001WGEAMARI                         ,SEEUD EEEIEE IAM   EE2S    UN                                             E009700100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EETN,EE,,IIB,EE,10830,ITDN,,,IIB,N59244500,E024485680,,00200,0,02,215,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73049,2103,SEEUD EETNEE IIB   EE110830 ITDN                   IIB N59244500E024485680     00200002215WGELENNART MERI                  ,SEEUD EETNEE IIB   EE2S    UN                                             E010000200                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EETN,EE,,ILK,EE,10930,ITDN,,,ILK,N59244360,E024514040,,00200,0,02,263,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73051,2504,SEEUD EETNEE ILK   EE110930 ITDN                   ILK N59244360E024514040     00200002263WGELENNART MERI                  ,SEEUD EETNEE ILK   EE2S    UN                                             E010000200                                       ,7,"navaid_class,ils_dme_bias,sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,EETU,EE,,IUM,EE,10850,ITDN,,,IUM,N58182370,E026415110,,00300,0,02,320,WGE,TARTU,S,Simulation application continuation,UN,E0102,00300,73053,1913,SEEUD EETUEE IUM   EE110850 ITDN                   IUM N58182370E026415110     00300002320WGETARTU                         ,SEEUD EETUEE IUM   EE2S    UN                                             E010200300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPCE,EP,,ICE,EP,11130,IT N,,,ICE,N54250170,E017463840,,00506,0,,154,WGE,CEWICE,S,Simulation application continuation,UN,E0065,00506,73057,2503,SEEUD EPCEEP ICE   EP111130 IT N                   ICE N54250170E017463840     005060  154WGECEWICE                        ,SEEUD EPCEEP ICE   EP2S    UN                                             E006500506                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPDE,EP,,IDN,EP,10910,IT N,,,IDN,N51325210,E021541620,,00400,0,,171,WGE,DEBLIN,S,Simulation application continuation,UU,E0070,00400,73059,2406,SEEUD EPDEEP IDN   EP110910 IT N                   IDN N51325210E021541620     004000  171WGEDEBLIN                        ,SEEUD EPDEEP IDN   EP2S    UU                                             E007000400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPGD,EP,,IGDA,EP,11030,IT N,,,IGDA,N54221780,E018290830,,00500,0,,079,WGE,LECH WALESA,S,Simulation application continuation,UN,E0067,00500,73061,2406,SEEUD EPGDEP IGDA  EP111030 IT N                   IGDAN54221780E018290830     005000  079WGELECH WALESA                   ,SEEUD EPGDEP IGDA  EP2S    UN                                             E006700500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPKS,EP,,IKS,EP,11190,IT N,,,IKS,N52194490,E016584450,,00274,0,,231,WGE,KRZESINY,S,Simulation application continuation,UN,E0060,00274,73065,2105,SEEUD EPKSEP IKS   EP111190 IT N                   IKS N52194490E016584450     002740  231WGEKRZESINY                      ,SEEUD EPKSEP IKS   EP2S    UN                                             E006000274                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPKT,EP,,IKTO,EP,10990,IT N,,,IKTO,N50283740,E019054280,,01000,0,,123,WGE,PYRZOWICE,S,Simulation application continuation,UU,E0062,01000,73067,2406,SEEUD EPKTEP IKTO  EP110990 IT N                   IKTON50283740E019054280     010000  123WGEPYRZOWICE                     ,SEEUD EPKTEP IKTO  EP2S    UU                                             E006201000                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPLB,EP,,ISWI,EP,11195,IT N,,,ISWI,N51143530,E022433430,,00700,0,,,WGE,LUBLIN,S,Simulation application continuation,UN,E0071,00700,73069,2406,SEEUD EPLBEP ISWI  EP111195 IT N                   ISWIN51143530E022433430     007000     WGELUBLIN                        ,SEEUD EPLBEP ISWI  EP2S    UN                                             E007100700                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPLK,EP,,IAS,EP,11090,IT N,,,IAS,N51324840,E019115300,,00631,0,,158,WGE,LASK,S,Simulation application continuation,UU,E0064,00631,73071,1911,SEEUD EPLKEP IAS   EP111090 IT N                   IAS N51324840E019115300     006310  158WGELASK                          ,SEEUD EPLKEP IAS   EP2S    UU                                             E006400631                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPMB,EP,,IMB,EP,11050,IT N,,,IMB,N54013720,E019085910,,00018,0,,139,WGE,MALBORK,S,Simulation application continuation,UN,E0068,00018,73075,2401,SEEUD EPMBEP IMB   EP111050 IT N                   IMB N54013720E019085910     000180  139WGEMALBORK                       ,SEEUD EPMBEP IMB   EP2S    UN                                             E006800018                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPMI,EP,,IMI,EP,11090,IT N,,,IMI,N53232250,E016053300,,00600,0,,158,WGE,MIROSLAWIEC,S,Simulation application continuation,UU,E0059,00600,73077,2406,SEEUD EPMIEP IMI   EP111090 IT N                   IMI N53232250E016053300     006000  158WGEMIROSLAWIEC                   ,SEEUD EPMIEP IMI   EP2S    UU                                             E005900600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPMM,EP,,IMM,EP,11130,IT N,,,IMM,N52113970,E021400800,,00600,0,,193,WGE,MINSK MAZOWIECKI,S,Simulation application continuation,UU,E0071,00600,73079,2406,SEEUD EPMMEP IMM   EP111130 IT N                   IMM N52113970E021400800     006000  193WGEMINSK MAZOWIECKI              ,SEEUD EPMMEP IMM   EP2S    UU                                             E007100600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPMO,EP,,IMDX,EP,10830,IT N,,,IMDX,N52265580,E020382010,,00300,0,,229,WGE,MODLIN,S,Simulation application continuation,UU,E0069,00300,73081,2406,SEEUD EPMOEP IMDX  EP110830 IT N                   IMDXN52265580E020382010     003000  229WGEMODLIN                        ,SEEUD EPMOEP IMDX  EP2S    UU                                             E006900300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPPW,EP,,IPDZ,EP,10815,IT N,,,IPDZ,N52230220,E017495760,,00400,0,,191,WGE,POWIDZ,S,Simulation application continuation,UN,E0062,00400,73087,2406,SEEUD EPPWEP IPDZ  EP110815 IT N                   IPDZN52230220E017495760     004000  191WGEPOWIDZ                        ,SEEUD EPPWEP IPDZ  EP2S    UN                                             E006200400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPPW,EP,,IPW,EP,11110,IT N,,,IPW,N52223450,E017522220,,00400,0,,268,WGE,POWIDZ,S,Simulation application continuation,UN,E0062,00400,73089,2406,SEEUD EPPWEP IPW   EP111110 IT N                   IPW N52223450E017522220     004000  268WGEPOWIDZ                        ,SEEUD EPPWEP IPW   EP2S    UN                                             E006200400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPRA,EP,,IRDM,EP,11035,IT N,,,IRDM,N51232620,E021134420,,00600,0,,282,WGE,RADOM,S,Simulation application continuation,UN,E0068,00600,73091,2406,SEEUD EPRAEP IRDM  EP111035 IT N                   IRDMN51232620E021134420     006000  282WGERADOM                         ,SEEUD EPRAEP IRDM  EP2S    UN                                             E006800600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPSC,EP,,SZC,EP,11050,IT N,,,SZC,N53344190,E014544180,,00200,0,,145,WGE,GOLENIOW,S,Simulation application continuation,UN,E0056,00200,73095,2406,SEEUD EPSCEP SZC   EP111050 IT N                   SZC N53344190E014544180     002000  145WGEGOLENIOW                      ,SEEUD EPSCEP SZC   EP2S    UN                                             E005600200                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPSN,EP,,ISN,EP,11155,IT N,,,ISN,N53471940,E015502360,,00400,0,,241,WGE,SWIDWIN,S,Simulation application continuation,UN,E0059,00400,73097,2406,SEEUD EPSNEP ISN   EP111155 IT N                   ISN N53471940E015502360     004000  241WGESWIDWIN                       ,SEEUD EPSNEP ISN   EP2S    UN                                             E005900400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPSY,EP,,SZY,EP,10810,IT N,,,SZY,N53282770,E020555370,,00500,0,,231,WGE,OLSZTYN-MAZURY,S,Simulation application continuation,UN,E0072,00500,73099,2406,SEEUD EPSYEP SZY   EP110810 IT N                   SZY N53282770E020555370     005000  231WGEOLSZTYN-MAZURY                ,SEEUD EPSYEP SZY   EP2S    UN                                             E007200500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPWA,EP,,WA,EP,11030,IT N,,,WA,N52092440,E020582270,,00400,0,,129,WGE,CHOPIN,S,Simulation application continuation,UN,E0069,00400,73101,2406,SEEUD EPWAEP WA    EP111030 IT N                   WA  N52092440E020582270     004000  129WGECHOPIN                        ,SEEUD EPWAEP WA    EP2S    UN                                             E006900400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPWA,EP,,WAS,EP,10990,IT N,,,WAS,N52101620,E020570590,,00400,0,,123,WGE,CHOPIN,S,Simulation application continuation,UN,E0069,00400,73103,2406,SEEUD EPWAEP WAS   EP110990 IT N                   WAS N52101620E020570590     004000  123WGECHOPIN                        ,SEEUD EPWAEP WAS   EP2S    UN                                             E006900400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPWR,EP,,WRO,EP,11030,IT N,,,WRO,N51055620,E016533510,,00400,0,,079,WGE,STRACHOWICE,S,Simulation application continuation,UN,E0058,00400,73105,2406,SEEUD EPWREP WRO   EP111030 IT N                   WRO N51055620E016533510     004000  079WGESTRACHOWICE                   ,SEEUD EPWREP WRO   EP2S    UN                                             E005800400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EVGA,EV,,LDE,EV,11150,IT N,,,LDE,N56471450,E024511380,,00200,0,,212,WGE,LIELVARDE,S,Simulation application continuation,UU,E0091,00200,73109,2109,SEEUD EVGAEV LDE   EV111150 IT N                   LDE N56471450E024511380     002000  212WGELIELVARDE                     ,SEEUD EVGAEV LDE   EV2S    UU                                             E009100200                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EVRA,EV,,IRP,EV,10810,ITDN,,,IRP,N56543320,E023580060,,00100,0,02,231,WGE,RIGA,S,Simulation application continuation,UU,E0089,00100,73113,1503,SEEUD EVRAEV IRP   EV110810 ITDN                   IRP N56543320E023580060     00100002231WGERIGA                          ,SEEUD EVRAEV IRP   EV2S    UU                                             E008900100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EVRA,EV,,IRV,EV,11110,ITDN,,,IRV,N56555630,E023581430,,00100,0,02,267,WGE,RIGA,S,Simulation application continuation,UU,E0089,00100,73115,1503,SEEUD EVRAEV IRV   EV111110 ITDN                   IRV N56555630E023581430     00100002267WGERIGA                          ,SEEUD EVRAEV IRV   EV2S    UU                                             E008900100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EYKA,EY,,ISE,EY,10990,ITDN,,,ISE,N54574900,E024060010,,00300,0,02,202,WGE,KAUNAS INTL,S,Simulation application continuation,UN,E0084,00300,73119,2106,SEEUD EYKAEY ISE   EY110990 ITDN                   ISE N54574900E024060010     00300002202WGEKAUNAS INTL                   ,SEEUD EYKAEY ISE   EY2S    UN                                             E008400300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EYPA,EY,,IAN,EY,11010,IT N,,,IAN,N55584380,E021055370,,00100,0,,232,WGE,PALANGA INTL,S,Simulation application continuation,UN,E0078,00100,73121,1512,SEEUD EYPAEY IAN   EY111010 IT N                   IAN N55584380E021055370     001000  232WGEPALANGA INTL                  ,SEEUD EYPAEY IAN   EY2S    UN                                             E007800100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EYVI,EY,,IAV,EY,11050,ITDN,,,IAV,N54373370,E025165580,,00600,0,02,217,WGE,VILNIUS INTL,S,Simulation application continuation,UU,E0086,00600,73127,1609,SEEUD EYVIEY IAV   EY111050 ITDN                   IAV N54373370E025165580     00600002217WGEVILNIUS INTL                  ,SEEUD EYVIEY IAV   EY2S    UU                                             E008600600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EYVI,EY,,IBK,EY,10910,ITDN,,,IBK,N54382900,E025173420,,00700,0,02,222,WGE,VILNIUS INTL,S,Simulation application continuation,UU,E0086,00700,73129,1609,SEEUD EYVIEY IBK   EY110910 ITDN                   IBK N54382900E025173420     00700002222WGEVILNIUS INTL                  ,SEEUD EYVIEY IBK   EY2S    UU                                             E008600700                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LBSF,LB,,ISF,LB,10950,ITDN,,,ISF,N42414710,E023260890,,01800,0,02,132,WGE,VASIL LEVSKI - SOFIA,S,Simulation application continuation,UU,E0057,01800,73135,2505,SEEUD LBSFLB ISF   LB110950 ITDN                   ISF N42414710E023260890     01800002132WGEVASIL LEVSKI - SOFIA          ,SEEUD LBSFLB ISF   LB2S    UU                                             E005701800                                       ,6,"vor_name,sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,LBSF,LB,,ISL,LB,11070,IT N,,,ISL,N42415410,E023241300,,01800,0,,163,WGE,VASIL LEVSKI - SOFIA,S,Simulation application continuation,UU,E0057,01800,73137,2505,SEEUD LBSFLB ISL   LB111070 IT N                   ISL N42415410E023241300     018000  163WGEVASIL LEVSKI - SOFIA          ,SEEUD LBSFLB ISL   LB2S    UU                                             E005701800                                       ,6,"vor_name,sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,LBWN,LB,,IWN,LB,10990,ITDN,,,IWN,N43140280,E027484750,,00200,0,02,148,WGE,VARNA,S,Simulation application continuation,UN,E0063,00200,73139,2007,SEEUD LBWNLB IWN   LB110990 ITDN                   IWN N43140280E027484750     00200002148WGEVARNA                         ,SEEUD LBWNLB IWN   LB2S    UN                                             E006300200                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,D,,LHPA,LH,,PCD,LH,11035,IT N,,,PCD,N47212180,E017301010,,00486,0,,282,WGE,PAPA,S,Simulation application continuation,UN,E0054,00486,73155,2101,SEEUD LHPALH PCD   LH111035 IT N                   PCD N47212180E017301010     004860  282WGEPAPA                          ,SEEUD LHPALH PCD   LH2S    UN                                             E005400486                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LHPA,LH,,PCN,LH,10855,IT N,,,PCN,N47221910,E017295350,,00476,0,,243,WGE,PAPA,S,Simulation application continuation,UN,E0054,00476,73157,2102,SEEUD LHPALH PCN   LH110855 IT N                   PCN N47221910E017295350     004760  243WGEPAPA                          ,SEEUD LHPALH PCN   LH2S    UN                                             E005400476                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LHPR,LH,,GPR,LH,11135,IT N,,,GPR,N47372780,E017484390,,00482,0,,114,WGE,GYOR-PER,S,Simulation application continuation,UU,E0055,00482,73161,1407,SEEUD LHPRLH GPR   LH111135 IT N                   GPR N47372780E017484390     004820  114WGEGYOR-PER                      ,SEEUD LHPRLH GPR   LH2S    UU                                             E005500482                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LHSN,LH,,SZN,LH,10955,IT N,,,SZN,N47074420,E020141460,,00315,0,,159,WGE,SZOLNOK,S,Simulation application continuation,UN,E0059,00315,73165,2404,SEEUD LHSNLH SZN   LH110955 IT N                   SZN N47074420E020141460     003150  159WGESZOLNOK                       ,SEEUD LHSNLH SZN   LH2S    UN                                             E005900315                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKCS,LK,,BW,LK,11050,IT N,,,BW,N48564309,E014261315,,01420,0,,136,WGE,CESKE BUDEJOVICE,S,Simulation application continuation,UN,E0049,01420,73169,2510,SEEUD LKCSLK BW    LK111050 IT N                   BW  N48564309E014261315     014200  136WGECESKE BUDEJOVICE              ,SEEUD LKCSLK BW    LK2S    UN                                             E004901420                                       ,8,"dme_latitude,dme_longitude,dme_elevation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,LKCV,LK,,CF,LK,11175,IT N,,,CF,N49555761,E015232230,,00854,0,,266,WGE,CASLAV,S,Simulation application continuation,UU,E0053,00854,73171,2404,SEEUD LKCVLK CF    LK111175 IT N                   CF  N49555761E015232230     008540  266WGECASLAV                        ,SEEUD LKCVLK CF    LK2S    UU                                             E005300854                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKKB,LK,,KD,LK,10835,IT N,,,KD,N50072410,E014331210,,00979,0,,267,WGE,KBELY,S,Simulation application continuation,UN,E0051,00979,73173,2403,SEEUD LKKBLK KD    LK110835 IT N                   KD  N50072410E014331210     009790  267WGEKBELY                         ,SEEUD LKKBLK KD    LK2S    UN                                             E005100979                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKKV,LK,,KVY,LK,11155,IT N,,,KVY,N50120439,E012553343,,02038,0,,167,WGE,KARLOVY VARY,S,Simulation application continuation,UU,E0047,02038,73175,2501,SEEUD LKKVLK KVY   LK111155 IT N                   KVY N50120439E012553343     020380  167WGEKARLOVY VARY                  ,SEEUD LKKVLK KVY   LK2S    UU                                             E004702038                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKPD,LK,,PK,LK,10935,IT N,,,PK,N50004294,E015450669,,00783,0,,193,WGE,PARDUBICE,S,Simulation application continuation,UN,E0053,00783,73181,2505,SEEUD LKPDLK PK    LK110935 IT N                   PK  N50004294E015450669     007830  193WGEPARDUBICE                     ,SEEUD LKPDLK PK    LK2S    UN                                             E005300783                                       ,5,"dme_latitude,dme_longitude,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,D,,LKPR,LK,,PA,LK,10995,IT N,,,PA,N50062003,E014145156,,01211,0,,287,WGE,RUZYNE,S,Simulation application continuation,UN,E0050,01211,73185,2107,SEEUD LKPRLK PA    LK110995 IT N                   PA  N50062003E014145156     012110  287WGERUZYNE                        ,SEEUD LKPRLK PA    LK2S    UN                                             E005001211                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKPR,LK,,PH,LK,11115,IT N,,,PH,N50061526,E014134923,,01237,0,,218,WGE,RUZYNE,S,Simulation application continuation,UN,E0050,01237,73189,2211,SEEUD LKPRLK PH    LK111115 IT N                   PH  N50061526E014134923     012370  218WGERUZYNE                        ,SEEUD LKPRLK PH    LK2S    UN                                             E005001237                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LKVO,LK,,VO,LK,11075,IT N,,,VO,N50125771,E014243099,,01080,0,,266,WGE,VODOCHODY,S,Simulation application continuation,UN,E0051,01080,73195,1913,SEEUD LKVOLK VO    LK111075 IT N                   VO  N50125771E014243099     010800  266WGEVODOCHODY                     ,SEEUD LKVOLK VO    LK2S    UN                                             E005101080                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRAR,LR,,IAD,LR,11070,IT N,,,IAD,N46103820,E021160670,,00400,0,,120,WGE,ARAD,S,Simulation application continuation,UU,E0059,00400,73197,1502,SEEUD LRARLR IAD   LR111070 IT N                   IAD N46103820E021160670     004000  120WGEARAD                          ,SEEUD LRARLR IAD   LR2S    UU                                             E005900400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRBC,LR,,IBC,LR,11070,IT N,,,IBC,N46304820,E026544280,,00700,0,,116,WGE,GEORGE ENESCU,S,Simulation application continuation,UN,E0068,00700,73199,2509,SEEUD LRBCLR IBC   LR111070 IT N                   IBC N46304820E026544280     007000  116WGEGEORGE ENESCU                 ,SEEUD LRBCLR IBC   LR2S    UN                                             E006800700                                       ,7,"dme_latitude,dme_longitude,sim_cont_sim_facility_characteristics,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,LRBV,LR,,IBV,LR,11010,IT N,,,IBV,N45425420,E025315060,,01800,0,,123,WGE,BRASOV-GHIMBAV,S,Simulation application continuation,UN,E0065,01800,73207,2306,SEEUD LRBVLR IBV   LR111010 IT N                   IBV N45425420E025315060     018000  123WGEBRASOV-GHIMBAV                ,SEEUD LRBVLR IBV   LR2S    UN                                             E006501800                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRCL,LR,,ICX,LR,11190,IT N,,,ICX,N46471760,E023413490,,01100,0,,413,WGE,AVRAM IANCU,S,Simulation application continuation,UU,E0064,01100,73211,1503,SEEUD LRCLLR ICX   LR111190 IT N                   ICX N46471760E023413490     011000  413WGEAVRAM IANCU                   ,SEEUD LRCLLR ICX   LR2S    UU                                             E006401100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRCV,LR,,ICV,LR,10870,IT N,,,ICV,N44190990,E023540130,,00600,0,,173,WGE,CRAIOVA,S,Simulation application continuation,UN,E0060,00600,73213,2404,SEEUD LRCVLR ICV   LR110870 IT N                   ICV N44190990E023540130     006000  173WGECRAIOVA                       ,SEEUD LRCVLR ICV   LR2S    UN                                             E006000600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRIA,LR,,IIS,LR,10910,IT N,,,IIS,N47110910,E027365020,,00500,0,,133,WGE,IASI,S,Simulation application continuation,UU,E0071,00500,73215,1501,SEEUD LRIALR IIS   LR110910 IT N                   IIS N47110910E027365020     005000  133WGEIASI                          ,SEEUD LRIALR IIS   LR2S    UU                                             E007100500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRSB,LR,,ISB,LR,11070,IT N,,,ISB,N45470430,E024055460,,01500,0,,112,WGE,SIBIU,S,Simulation application continuation,UN,E0063,01500,73227,1612,SEEUD LRSBLR ISB   LR111070 IT N                   ISB N45470430E024055460     015000  112WGESIBIU                         ,SEEUD LRSBLR ISB   LR2S    UN                                             E006301500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LRTC,LR,,ITC,LR,11070,IT N,,,ITC,N45032350,E028430510,,00200,0,,114,WGE,DELTA DUNARII,S,Simulation application continuation,UN,E0068,00200,73233,1913,SEEUD LRTCLR ITC   LR111070 IT N                   ITC N45032350E028430510     002000  114WGEDELTA DUNARII                 ,SEEUD LRTCLR ITC   LR2S    UN                                             E006800200                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LZKZ,LZ,,KE,LZ,10950,IT N,,,KE,N48390860,E021140720,,00764,0,,101,WGE,KOSICE,S,Simulation application continuation,UN,E0063,00764,73249,2311,SEEUD LZKZLZ KE    LZ110950 IT N                   KE  N48390860E021140720     007640  101WGEKOSICE                        ,SEEUD LZKZLZ KE    LZ2S    UN                                             E006300764                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LZSL,LZ,,FS,LZ,10870,IT N,,,FS,N48374650,E019075440,,01032,0,,233,WGE,SLIAC,S,Simulation application continuation,UN,E0059,01032,73255,2310,SEEUD LZSLLZ FS    LZ110870 IT N                   FS  N48374650E019075440     010320  233WGESLIAC                         ,SEEUD LZSLLZ FS    LZ2S    UN                                             E005901032                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,LZZI,LZ,,ZNA,LZ,10815,IT N,,,ZNA,N49135210,E018363600,,01066,0,,191,WGE,ZILINA,S,Simulation application continuation,UN,E0059,01066,73257,2210,SEEUD LZZILZ ZNA   LZ110815 IT N                   ZNA N49135210E018363600     010660  191WGEZILINA                        ,SEEUD LZZILZ ZNA   LZ2S    UN                                             E005901066                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UAAA,UA,,IAL,UA,10810,ITDN,,,IAL,N43213850,E077033590,,02300,0,02,462,WGE,ALMATY,S,Simulation application continuation,UU,E0052,02300,73261,1912,SEEUD UAAAUA IAL   UA110810 ITDN                   IAL N43213850E077033590     02300002462WGEALMATY                        ,SEEUD UAAAUA IAL   UA2S    UU                                             E005202300                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
