record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,UUEE,UU,,IBW,UU,11050,ITDN,,,IBW,N55582480,E037262010,,00600,0,02,131,WGE,SHEREMETYEVO,S,Simulation application continuation,UN,E0121,00600,73697,2402,SEEUD UUEEUU IBW   UU111050 ITDN                   IBW N55582480E037262010     00600002131WGESHEREMETYEVO                  ,SEEUD UUEEUU IBW   UU2S    UN                                             E012100600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUEE,UU,,IMR,UU,10810,ITDN,,,IMR,N55581020,E037233200,,00630,0,02,215,WGE,SHEREMETYEVO,S,Simulation application continuation,UN,E0121,00630,73701,2402,SEEUD UUEEUU IMR   UU110810 ITDN                   IMR N55581020E037233200     00630002215WGESHEREMETYEVO                  ,SEEUD UUEEUU IMR   UU2S    UN                                             E012100630                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUEE,UU,,INL,UU,10910,ITDN,,,INL,N55575960,E037233170,,00600,0,02,169,WGE,SHEREMETYEVO,S,Simulation application continuation,UN,E0121,00600,73703,2402,SEEUD UUEEUU INL   UU110910 ITDN                   INL N55575960E037233170     00600002169WGESHEREMETYEVO                  ,SEEUD UUEEUU INL   UU2S    UN                                             E012100600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUOD,UU,,IZF,UU,10990,ITDN,,,IZF,N51392750,E039155160,,00358,0,02,493,WGE,PRIDACHA,S,Simulation application continuation,UN,E0104,00358,73705,2310,SEEUD UUODUU IZF   UU110990 ITDN                   IZF N51392750E039155160     00358002493WGEPRIDACHA                      ,SEEUD UUODUU IZF   UU2S    UN                                             E010400358                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUWW,UU,,ITA,UU,11150,ITDN,,,ITA,N55363540,E037162370,,00640,0,02,138,WGE,VNUKOVO,S,Simulation application continuation,UN,E0118,00640,73711,2506,SEEUD UUWWUU ITA   UU111150 ITDN                   ITA N55363540E037162370     00640002138WGEVNUKOVO                       ,SEEUD UUWWUU ITA   UU2S    UN                                             E011800640                                       ,8,"dme_latitude,dme_longitude,dme_elevation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,UUYH,UL,,IBF,UL,10970,ITDN,,,IBF,N63332970,E053474510,,00482,0,02,,WGE,UKHTA,S,Simulation application continuation,UN,E0208,00482,73715,2310,SEEUD UUYHUL IBF   UL110970 ITDN                   IBF N63332970E053474510     00482002   WGEUKHTA                         ,SEEUD UUYHUL IBF   UL2S    UN                                             E020800482                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUYH,UL,,IDP,UL,11010,ITDN,,,IDP,N63343200,E053484770,,00482,0,02,452,WGE,UKHTA,S,Simulation application continuation,UN,E0208,00482,73717,2310,SEEUD UUYHUL IDP   UL111010 ITDN                   IDP N63343200E053484770     00482002452WGEUKHTA                         ,SEEUD UUYHUL IDP   UL2S    UN                                             E020800482                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UUYS,UL,,IUL,UL,10870,ITDN,,,IUL,N66004780,E057214030,,00300,0,02,561,WGE,USINSK,S,Simulation application continuation,UN,E0237,00300,73719,2413,SEEUD UUYSUL IUL   UL110870 ITDN                   IUL N66004780E057214030     00300002561WGEUSINSK                        ,SEEUD UUYSUL IUL   UL2S    UN                                             E023700300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UWKB,UW,,ILB,UW,11090,ITDN,,,ILB,N54384870,E052482530,,00984,0,02,409,WGE,BUGULMA,S,Simulation application continuation,UN,E0137,00984,73731,2409,SEEUD UWKBUW ILB   UW111090 ITDN                   ILB N54384870E052482530     00984002409WGEBUGULMA                       ,SEEUD UWKBUW ILB   UW2S    UN                                             E013700984                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,UWKD,UW,,IAM,UW,11050,ITDN,,,IAM,N55365290,E049151260,,00410,0,02,187,WGE,KAZAN,S,Simulation application continuation,UN,E0140,00410,73733,2307,SEEUD UWKDUW IAM   UW111050 ITDN                   IAM N55365290E049151260     00410002187WGEKAZAN                         ,SEEUD UWKDUW IAM   UW2S    UN                                             E014000410                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
