record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,EEEI,EE,,IAM,EE,10870,IT N,,,IAM,N59152650,E024110860,,00100,0,,001,WGE,AMARI,S,Simulation application continuation,UN,E0097,00100,73043,2102,SEEUD EEEIEE IAM   EE110870 IT N                   IAM N59152650E024110860     001000  001WGEAMARI                         ,SEEUD EEEIEE IAM   EE2S    UN                                             E009700100                                       
S,EEU,D,,EEEI,EE,,IGO,EE,10870,IT N,,,IGO,N59155030,E024132100,,00100,0,,001,WGE,AMARI,S,Simulation application continuation,UN,E0097,00100,73045,2102,SEEUD EEEIEE IGO   EE110870 IT N                   IGO N59155030E024132100     001000  001WGEAMARI                         ,SEEUD EEEIEE IGO   EE2S    UN                                             E009700100                                       
S,EEU,D,,EEKE,EE,,IWA,EE,10990,ITDN,,,IWA,N58141790,E022302700,,00100,0,02,165,WGE,KURESSAARE,S,Simulation application continuation,UN,E0088,00100,73047,2102,SEEUD EEKEEE IWA   EE110990 ITDN                   IWA N58141790E022302700     00100002165WGEKURESSAARE                    ,SEEUD EEKEEE IWA   EE2S    UN                                             E008800100                                       
S,EEU,D,,EETN,EE,,IIB,EE,10830,ITDN,,,IIB,N59244500,E024485680,,00200,0,02,215,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73049,2103,SEEUD EETNEE IIB   EE110830 ITDN                   IIB N59244500E024485680     00200002215WGELENNART MERI                  ,SEEUD EETNEE IIB   EE2S    UN                                             E010000200                                       
S,EEU,D,,EETN,EE,,ILK,EE,10930,ITDN,,,ILK,N59244360,E024514040,,00200,0,02,263,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73051,2504,SEEUD EETNEE ILK   EE110930 ITDN                   ILK N59244360E024514040     00200002263WGELENNART MERI                  ,SEEUD EETNEE ILK   EE2S    UN                                             E010000200                                       
S,EEU,D,,EETU,EE,,IUM,EE,10850,ITDN,,,IUM,N58182370,E026415110,,00300,0,02,320,WGE,TARTU,S,Simulation application continuation,UN,E0102,00300,73053,1913,SEEUD EETUEE IUM   EE110850 ITDN                   IUM N58182370E026415110     00300002320WGETARTU                         ,SEEUD EETUEE IUM   EE2S    UN                                             E010200300                                       
S,EEU,D,,EPBY,EP,,BYD,EP,10910,IT N,,,BYD,N53054900,E017593170,,00300,0,,171,WGE,BYDGOSZCZ,S,Simulation application continuation,UN,E0063,00300,73055,2406,SEEUD EPBYEP BYD   EP110910 IT N                   BYD N53054900E017593170     003000  171WGEBYDGOSZCZ                     ,SEEUD EPBYEP BYD   EP2S    UN                                             E006300300                                       
S,EEU,D,,EPCE,EP,,ICE,EP,11130,IT N,,,ICE,N54250170,E017463840,,00506,0,,154,WGE,CEWICE,S,Simulation application continuation,UN,E0065,00506,73057,2503,SEEUD EPCEEP ICE   EP111130 IT N                   ICE N54250170E017463840     005060  154WGECEWICE                        ,SEEUD EPCEEP ICE   EP2S    UN                                             E006500506                                       
S,EEU,D,,EPDE,EP,,IDN,EP,10910,IT N,,,IDN,N51325210,E021541620,,00400,0,,171,WGE,DEBLIN,S,Simulation application continuation,UU,E0070,00400,73059,2406,SEEUD EPDEEP IDN   EP110910 IT N                   IDN N51325210E021541620     004000  171WGEDEBLIN                        ,SEEUD EPDEEP IDN   EP2S    UU                                             E007000400                                       
S,EEU,D,,EPGD,EP,,IGDA,EP,11030,IT N,,,IGDA,N54221780,E018290830,,00500,0,,079,WGE,LECH WALESA,S,Simulation application continuation,UN,E0067,00500,73061,2406,SEEUD EPGDEP IGDA  EP111030 IT N                   IGDAN54221780E018290830     005000  079WGELECH WALESA                   ,SEEUD EPGDEP IGDA  EP2S    UN                                             E006700500                                       
S,EEU,D,,EPKK,EP,,KRW,EP,11030,IT N,,,KRW,N50045000,E019474290,,00800,0,,086,WGE,BALICE,S,Simulation application continuation,UN,E0062,00800,73063,2406,SEEUD EPKKEP KRW   EP111030 IT N                   KRW N50045000E019474290     008000  086WGEBALICE                        ,SEEUD EPKKEP KRW   EP2S    UN                                             E006200800                                       
