record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,LRBC,LR,I,IBC,1,11070,RW34,N46320750,E026541760,3400,N46304830,E026544280,1023,,0972,0000,300,E0050,54,00591,,,,,S,Simulation application continuation,U  N,,,29339,2009,SEEUP LRBCLRIIBC 1   111070RW34 N46320750E0265417603400N46304830E0265442801023 09720000300E00505400591                     ,SEEUP LRBCLRIIBC 1   2S    U  N                    34500N                              140                                 
S,EEU,P,LRCK,LR,I,ICK,1,11030,RW36,N44225390,E028292800,3590,N44205690,E028291840,1410,,1033,0500,300,E0070,54,00315,,,,,S,Simulation application continuation,U  N,,,30543,2313,SEEUP LRCKLRIICK 1   111030RW36 N44225390E0282928003590N44205690E0282918401410 10330500300E00705400315                     ,SEEUP LRCKLRIICK 1   2S    U  N                    00600N                              140                                 
S,EEU,P,UEEE,UE,I,IMF,1,11170,RW23,N62042690,E129443940,2330,N62061260,E129473900,2852,,0971,0000,300,W0160,51,00325,,,,,S,Simulation application continuation,U  N,,,46536,2305,SEEUP UEEEUEIIMF 1   111170RW23 N62042690E1294439402330N62061260E1294739002852 09710000300W01605100325                     ,SEEUP UEEEUEIIMF 1   2S    U  N                    21700N                              140                                 
S,EEU,P,URKG,UR,I,IGN,1,11010,RW01,N44355040,E038010610,0070,N44341630,E038002740,0673,,0911,0000,267,E0070,54,00131,,,,,S,Simulation application continuation,U  N,,,80986,2309,SEEUP URKGURIIGN 1   111010RW01 N44355040E0380106100070N44341630E0380027400673 09110000267E00705400131                     ,SEEUP URKGURIIGN 1   2S    U  N                    01400N                              140                                 
S,EEU,P,UTFA,UT,I,IAN,1,11050,RW04,N40442593,E072183880,0410,N40431374,E072165140,2137,,0911,0000,300,E0050,47,01543,,,,,S,Simulation application continuation,U  N,,,03130,1701,SEEUP UTFAUTIIAN 1   111050RW04 N40442593E0721838800410N40431374E0721651402137 09110000300E00504701543                     ,SEEUP UTFAUTIIAN 1   2S    U  N                    04600N                              140                                 
S,EEU,P,UTFF,UT,I,IZU,1,10970,RW18,N40201672,E071443546,1780,N40220863,E071444909,2740,,0791,0000,300,E0050,51,01924,,,,,S,Simulation application continuation,U  N,,,03251,2310,SEEUP UTFFUTIIZU 1   110970RW18 N40201672E0714435461780N40220863E0714449092740 07910000300E00505101924                     ,SEEUP UTFFUTIIZU 1   2S    U  N                    18300N                              140                                 
S,EEU,P,UTFN,UT,I,ISA,1,11010,RW28,N40592470,E071320995,2830,N40584626,E071341895,0674,,0791,0000,300,E0050,52,01705,,,,,S,Simulation application continuation,U  N,,,03441,2211,SEEUP UTFNUTIISA 1   111010RW28 N40592470E0713209952830N40584626E0713418950674 07910000300E00505201705                     ,SEEUP UTFNUTIISA 1   2S    U  N                    28857Y                              140                                 
S,EEU,P,UTNN,UT,I,IZR,1,11030,RW33,N42303340,E059363550,3280,N42284450,E059373970,3164,,0971,0000,300,E0070,56,00249,,,,,S,Simulation application continuation,U  N,,,03670,2202,SEEUP UTNNUTIIZR 1   111030RW33 N42303340E0593635503280N42284450E0593739703164 09710000300E00705600249                     ,SEEUP UTNNUTIIZR 1   2S    U  N                    33500N                              140                                 
S,EEU,P,UTNU,UT,I,INU,1,10950,RW31,N41354620,E060374130,3130,N41343140,E060391450,1575,,1033,0000,300,E0060,54,00322,,,,,S,Simulation application continuation,U  N,,,03863,2013,SEEUP UTNUUTIINU 1   110950RW31 N41354620E0603741303130N41343140E0603914501575 10330000300E00605400322                     ,SEEUP UTNUUTIINU 1   2S    U  N                    31900N                              140                                 
S,EEU,P,UTSA,UT,I,IHG,2,10930,RW07,N40072066,E065120309,0720,N40064592,E065090875,1927,,1093,0000,300,E0060,57,01200,,,,,S,Simulation application continuation,U  N,,,04037,2105,SEEUP UTSAUTIIHG 2   110930RW07 N40072066E0651203090720N40064592E0650908751927 10930000300E00605701200                     ,SEEUP UTSAUTIIHG 2   2S    U  N                    07800N                              140                                 
S,EEU,P,UTSA,UT,I,INL,2,10870,RW25,N40064452,E065083235,2520,N40071046,E065112721,1726,,1033,0000,300,E0060,58,01200,,,,,S,Simulation application continuation,U  N,,,04039,2105,SEEUP UTSAUTIINL 2   110870RW25 N40064452E0650832352520N40071046E0651127211726 10330000300E00605801200                     ,SEEUP UTSAUTIINL 2   2S    U  N                    25800N                              140                                 
S,EEU,P,UTSB,UT,I,IUH,1,11030,RW01,N39473430,E064291100,0050,N39455230,E064285400,1578,,1033,0000,300,E0050,54,00751,,,,,S,Simulation application continuation,U  N,,,04252,1612,SEEUP UTSBUTIIUH 1   111030RW01 N39473430E0642911000050N39455230E0642854001578 10330000300E00505400751                     ,SEEUP UTSBUTIIUH 1   2S    U  N                    01000N                              140                                 
S,EEU,P,UTSK,UT,I,IJP,1,10910,RW16,N38471270,E065464380,1590,N38483990,E065460400,1218,,1154,0000,300,E0050,56,01232,,,,,S,Simulation application continuation,U  N,,,04373,2013,SEEUP UTSKUTIIJP 1   110910RW16 N38471270E0654643801590N38483990E0654604001218 11540000300E00505601232                     ,SEEUP UTSKUTIIJP 1   2S    U  N                    16400N                              140                                 
S,EEU,P,UTSS,UT,I,IMZ,1,10950,RW09,N39420009,E067001266,0910,N39421393,E066580413,0867,,0912,0000,300,E0050,53,02200,,,,,S,Simulation application continuation,U  N,,,04556,2211,SEEUP UTSSUTIIMZ 1   110950RW09 N39420009E0670012660910N39421393E0665804130867 09120000300E00505302200                     ,SEEUP UTSSUTIIMZ 1   2S    U  N                    09600N                              140                                 
S,EEU,P,UTSS,UT,I,ISD,1,11070,RW27,N39421187,E066573946,2710,N39420626,E066594350,0981,,1093,0000,300,E0050,51,02200,,,,,S,Simulation application continuation,U  N,,,04558,2211,SEEUP UTSSUTIISD 1   111070RW27 N39421187E0665739462710N39420626E0665943500981 10930000300E00505102200                     ,SEEUP UTSSUTIISD 1   2S    U  N                    27600N                              140                                 
S,EEU,P,UTST,UT,I,INO,1,11030,RW25,N37165901,E067171872,2500,N37172923,E067191415,0989,,1033,0000,300,E0040,50,01100,,,,,S,Simulation application continuation,U  N,,,04679,2305,SEEUP UTSTUTIINO 1   111030RW25 N37165901E0671718722500N37172923E0671914150989 10330000300E00405001100                     ,SEEUP UTSTUTIINO 1   2S    U  N                    25400N                              140                                 
S,EEU,P,UTTT,UT,I,IFD,1,10850,RW26R,N41151960,E069151380,2560,N41153260,E069174590,0926,,1519,0000,300,E0050,57,01414,,,,,S,Simulation application continuation,U  N,,,05210,2301,SEEUP UTTTUTIIFD 1   110850RW26RN41151960E0691513802560N41153260E0691745900926 15190000300E00505701414                     ,SEEUP UTTTUTIIFD 1   2S    U  N                    26100N                              140                                 
S,EEU,P,UTTT,UT,I,ING,2,11050,RW08L,N41154160,E069183330,0760,N41151980,E069155090,1346,,1033,0000,300,E0050,57,01387,,,,,S,Simulation application continuation,U  N,,,05212,1804,SEEUP UTTTUTIING 2   111050RW08LN41154160E0691833300760N41151980E0691550901346 10330000300E00505701387                     ,SEEUP UTTTUTIING 2   2S    U  N                    08100N                              140                                 
S,EEU,P,UTTT,UT,I,IZW,1,11170,RW08R,N41153370,E069182390,0760,N41151320,E069155080,0671,,0971,0000,300,E0050,51,01385,,,,,S,Simulation application continuation,U  N,,,05214,1804,SEEUP UTTTUTIIZW 1   111170RW08RN41153370E0691823900760N41151320E0691550800671 09710000300E00505101385                     ,SEEUP UTTTUTIIZW 1   2S    U  N                    08100N                              140                                 
S,EEU,P,UUWW,UU,I,ITA,1,11150,RW19,N55350490,E037152230,1920,N55363570,E037162380,0743,,0911,0000,300,E0110,51,00685,,,,,S,Simulation application continuation,U  N,,,13053,2013,SEEUP UUWWUUIITA 1   111150RW19 N55350490E0371522301920N55363570E0371623800743 09110000300E01105100685                     ,SEEUP UUWWUUIITA 1   2S    U  N                    20300N                              140                                 
S,EEU,P,ZWWW,ZW,I,IOY,1,10970,RW07,N43544479,E087295743,0710,N43541585,E087272231,0984,,1073,0000,300,E0030,49,02140,,,,,S,Simulation application continuation,U  N,,,58297,2112,SEEUP ZWWWZWIIOY 1   110970RW07 N43544479E0872957430710N43541585E0872722310984 10730000300E00304902140                     ,SEEUP ZWWWZWIIOY 1   2S    U  N                    07400N                              140                                 
S,EEU,P,ZWWW,ZW,I,IRM,3,11030,RW25,N43540645,E087265683,2510,N43544268,E087292819,0984,,1132,0000,300,E0030,49,02139,,,,,S,Simulation application continuation,U  N,,,58299,2112,SEEUP ZWWWZWIIRM 3   111030RW25 N43540645E0872656832510N43544268E0872928190984 11320000300E00304902139                     ,SEEUP ZWWWZWIIRM 3   2S    U  N                    25400N                              140                                 
