record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,UZTP,UT,,IRZ,UT,10910,IT N,,,IRZ,N41185106,E069245837,,01583,0,,294,WGE,VOSTOCHNY,S,Simulation application continuation,UN,E0056,01583,73791,2508,SEEUD UZTPUT IRZ   UT110910 IT N                   IRZ N41185106E069245837     015830  294WGEVOSTOCHNY                     ,SEEUD UZTPUT IRZ   UT2S    UN                                             E005601583                                       
S,EEU,D,,UZTT,UT,,IFD,UT,10850,ITDN,,,IFD,N41153260,E069174590,,01400,0,02,542,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01400,73793,2508,SEEUD UZTTUT IFD   UT110850 ITDN                   IFD N41153260E069174590     01400002542WGEISLAM KARIMOV                 ,SEEUD UZTTUT IFD   UT2S    UN                                             E005601400                                       
S,EEU,D,,UZTT,UT,,ING,UT,11050,ITDN,,,ING,N41151980,E069155090,,01400,0,02,141,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01400,73795,2508,SEEUD UZTTUT ING   UT111050 ITDN                   ING N41151980E069155090     01400002141WGEISLAM KARIMOV                 ,SEEUD UZTTUT ING   UT2S    UN                                             E005601400                                       
S,EEU,D,,UZTT,UT,,IZW,UT,11170,ITDN,,,IZW,N41151320,E069155080,,01400,0,02,067,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01400,73797,2508,SEEUD UZTTUT IZW   UT111170 ITDN                   IZW N41151320E069155080     01400002067WGEISLAM KARIMOV                 ,SEEUD UZTTUT IZW   UT2S    UN                                             E005601400                                       
S,EEU,D,,ZBER,ZB,,IER,ZB,10850,IT N,,,IER,N43251241,E112060539,,03310,0,,285,WGE,SAIWUSU,S,Simulation application continuation,UN,W0069,03310,73833,2507,SEEUD ZBERZB IER   ZB110850 IT N                   IER N43251241E112060539     033100  285WGESAIWUSU                       ,SEEUD ZBERZB IER   ZB2S    UN                                             W006903310                                       
S,EEU,D,,ZGZJ,ZG,,IWC,ZG,10955,IT N,,,IWC,N21293930,E110351880,,00089,0,,001,WGE,WUCHUAN,S,Simulation application continuation,UN,W0025,00089,73911,2508,SEEUD ZGZJZG IWC   ZG110955 IT N                   IWC N21293930E110351880     000890  001WGEWUCHUAN                       ,SEEUD ZGZJZG IWC   ZG2S    UN                                             W002500089                                       
S,EEU,D,,ZGZJ,ZG,,IZU,ZG,10955,IT N,,,IZU,N21282680,E110360380,,00082,0,,001,WGE,WUCHUAN,S,Simulation application continuation,UN,W0025,00082,73913,2508,SEEUD ZGZJZG IZU   ZG110955 IT N                   IZU N21282680E110360380     000820  001WGEWUCHUAN                       ,SEEUD ZGZJZG IZU   ZG2S    UN                                             W002500082                                       
S,EEU,D,,ZHES,ZH,,IGG,ZH,11030,IT N,,,IGG,N30185040,E109290700,,01637,0,,233,WGE,XUJIAPING,S,Simulation application continuation,UN,W0037,01637,73931,2507,SEEUD ZHESZH IGG   ZH111030 IT N                   IGG N30185040E109290700     016370  233WGEXUJIAPING                     ,SEEUD ZHESZH IGG   ZH2S    UN                                             W003701637                                       
S,EEU,D,,ZWWW,ZW,,IMU,ZW,10930,IT N,,,IMU,N43554313,E087292292,,02106,0,,396,WGE,TIANSHAN,S,Simulation application continuation,UN,E0026,02106,74197,2507,SEEUD ZWWWZW IMU   ZW110930 IT N                   IMU N43554313E087292292     021060  396WGETIANSHAN                      ,SEEUD ZWWWZW IMU   ZW2S    UN                                             E002602106                                       
S,EEU,D,,ZWWW,ZW,,IQD,ZW,10955,IT N,,,IQD,N43553185,E087272892,,02103,0,,,WGE,TIANSHAN,S,Simulation application continuation,UN,E0026,02103,74199,2507,SEEUD ZWWWZW IQD   ZW110955 IT N                   IQD N43553185E087272892     021030     WGETIANSHAN                      ,SEEUD ZWWWZW IQD   ZW2S    UN                                             E002602103                                       
S,EEU,D,,ZWWW,ZW,,IUR,ZW,11110,IT N,,,IUR,N43555503,E087291819,,02103,0,,576,WGE,TIANSHAN,S,Simulation application continuation,UN,E0026,02103,74201,2507,SEEUD ZWWWZW IUR   ZW111110 IT N                   IUR N43555503E087291819     021030  576WGETIANSHAN                      ,SEEUD ZWWWZW IUR   ZW2S    UN                                             E002602103                                       
S,EEU,D,,ZWWW,ZW,,IWQ,ZW,11050,IT N,,,IWQ,N43551638,E087271639,,02106,0,,,WGE,TIANSHAN,S,Simulation application continuation,UN,E0026,02106,74203,2507,SEEUD ZWWWZW IWQ   ZW111050 IT N                   IWQ N43551638E087271639     021060     WGETIANSHAN                      ,SEEUD ZWWWZW IWQ   ZW2S    UN                                             E002602106                                       
