record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,UTTC,RW26,08097,2550,N41310794,E069352422,,02370,0000,50,105,,,S,Simulation application continuation,,,,04990,2213,SEEUP UTTCUTGRW26    1080972550 N41310794E069352422               02370000050105      0164                                 ,SEEUP UTTCUTGRW26    2S                            26007Y        L02370                                                    
S,EEU,P,G,UTTT,RW08L,13123,0760,N41152213,E069153642,+0400,01369,0820,57,197,ING,,S,Simulation application continuation,,,,05202,2206,SEEUP UTTTUTGRW08L   1131230760 N41152213E069153642+0400          01369082057197 ING  0000                                 ,SEEUP UTTTUTGRW08L   2S                            08167Y        T01369                                                    
S,EEU,P,G,UTTT,RW08R,12812,0760,N41151540,E069153776,+0400,01369,0656,51,148,IZW,,S,Simulation application continuation,,,,05204,2208,SEEUP UTTTUTGRW08R   1128120760 N41151540E069153776+0400          01369065651148 IZW  0000                                 ,SEEUP UTTTUTGRW08R   2S                            08166Y        L01369                                                    
S,EEU,P,G,UTTT,RW26L,12812,2560,N41153177,E069180650,-0400,01412,0673,50,148,,,S,Simulation application continuation,,,,05206,2208,SEEUP UTTTUTGRW26L   1128122560 N41153177E069180650-0400          01412067350148      0000                                 ,SEEUP UTTTUTGRW26L   2S                            26168Y        L01412                                                    
S,EEU,P,G,UTTT,RW26R,13123,2560,N41153847,E069180509,-0400,01414,0820,57,197,IFD,,S,Simulation application continuation,,,,05208,2206,SEEUP UTTTUTGRW26R   1131232560 N41153847E069180509-0400          01414082057197 IFD  0000                                 ,SEEUP UTTTUTGRW26R   2S                            26170Y        T01414                                                    
S,EEU,P,G,UUDD,RW14C,07776,1350,N55250100,E037545530,-0250,00544,0000,50,174,,,S,Simulation application continuation,,,,08212,2205,SEEUP UUDDUUGRW14C   1077761350 N55250100E037545530-0250          00544000050174      0000                                 ,SEEUP UUDDUUGRW14C   2S                            14564Y        L00544                                                    
S,EEU,P,G,UUDD,RW14L,12467,1350,N55252826,E037544236,-0160,00543,0000,50,197,G14A,,S,Simulation application continuation,,,,08214,2205,SEEUP UUDDUUGRW14L   1124671350 N55252826E037544236-0160          00543000050197 G14A 0000                                 ,SEEUP UUDDUUGRW14L   2S                            14564Y        L00543                                                    
S,EEU,P,G,UUDD,RW14R,11483,1350,N55251582,E037521972,-0540,00592,0000,50,197,IDM,,S,Simulation application continuation,,,,08216,2207,SEEUP UUDDUUGRW14R   1114831350 N55251582E037521972-0540          00592000050197 IDM  0000                                 ,SEEUP UUDDUUGRW14R   2S                            14560Y        L00592                                                    
S,EEU,P,G,UUDD,RW32C,07776,3150,N55235773,E037561131,+0250,00524,0000,50,174,,,S,Simulation application continuation,,,,08218,2205,SEEUP UUDDUUGRW32C   1077763150 N55235773E037561131+0250          00524000050174      0000                                 ,SEEUP UUDDUUGRW32C   2S                            32565Y        L00524                                                    
S,EEU,P,G,UUDD,RW32L,11483,3150,N55234243,E037541206,+0540,00531,0000,57,197,IDO,,S,Simulation application continuation,,,,08220,2205,SEEUP UUDDUUGRW32L   1114833150 N55234243E037541206+0540          00531000057197 IDO  0000                                 ,SEEUP UUDDUUGRW32L   2S                            32563Y        L00531                                                    
S,EEU,P,G,UUDD,RW32R,12467,3150,N55234681,E037564422,+0160,00523,0000,50,197,G32A,,S,Simulation application continuation,,,,08222,2205,SEEUP UUDDUUGRW32R   1124673150 N55234681E037564422+0160          00523000050197 G32A 0000                                 ,SEEUP UUDDUUGRW32R   2S                            32566Y        L00523                                                    
S,EEU,P,G,ZWWW,RW07,11811,0710,N43540913,E087270975,,02125,0000,49,148,IOY,,S,Simulation application continuation,,,,58293,2112,SEEUP ZWWWZWGRW07    1118110710 N43540913E087270975               02125000049148 IOY  0000                                 ,SEEUP ZWWWZWGRW07    2S                            07358Y        L02125                                                    
S,EEU,P,G,ZWWW,RW25,11811,2510,N43544212,E087294451,,02126,0000,49,148,IRM,,S,Simulation application continuation,,,,58295,2201,SEEUP ZWWWZWGRW25    1118112510 N43544212E087294451               02126000049148 IRM  0000                                 ,SEEUP ZWWWZWGRW25    2S                            25358Y        L02126                                                    
