record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123,changed_field_count,changed_fields
S,EEU,P,,EPGD,EP,V,APP,0127280,,C,0,,R,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,,,,,GDANSK,,,,,,,,,SEEUP EPGDEPVAPP0127280 C0   RA N54223900E018275800E007000488Y                          00        GDANSK                   ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPGD,EP,V,APP,0133660,,C,1,,R,A,,N54223900,E018275800,E0070,00488,N,,,,,,,,,,00,,,,,GDANSK,,,,,,,,,SEEUP EPGDEPVAPP0133660 C1   RA N54223900E018275800E007000488N                          00        GDANSK                   ,SEEUP EPGDEPVAPP0133660 C2 T  1705002200                                                                                   ,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPGD,EP,V,ATI,0129630,T,C,0,,N,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP EPGDEPVATI0129630TC0   NA N54223900E018275800E007000488Y                          00                                 ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPGD,EP,V,GND,0131330,,C,1,,R,A,,N54223900,E018275800,E0070,00488,N,,,,,,,,,,00,,,,,GDANSK,,,,,,,,,SEEUP EPGDEPVGND0131330 C1   RA N54223900E018275800E007000488N                          00        GDANSK                   ,SEEUP EPGDEPVGND0131330 C2 T  1705002100                                                                                   ,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPGD,EP,V,TWR,0118105,,C,0,,N,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,,,,,GDANSK,,,,,,,,,SEEUP EPGDEPVTWR0118105 C0   NA N54223900E018275800E007000488Y                          00        GDANSK                   ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPIR,EP,V,APP,0119290,,C,1,,R,A,,N52494300,E018194900,E0060,00276,N,,,,,,,,,,00,,,,,INOWROCLAW,,,,,,,,,SEEUP EPIREPVAPP0119290 C1   RA N52494300E018194900E006000276N                          00        INOWROCLAW               ,SEEUP EPIREPVAPP0119290 C2 T  1506301430                                                                                   ,,,,4,"communications_frequency,frequency_units,primary_1_123,sim_cont_1_123"
S,EEU,P,,EPIR,EP,V,RDR,0133005,,C,1,,R,A,,N52494300,E018194900,E0060,00276,N,,,,,,,,,,00,,,,,INOWROCLAW PRECISION,,,,,,,,,SEEUP EPIREPVRDR0133005 C1   RA N52494300E018194900E006000276N                          00        INOWROCLAW PRECISION     ,SEEUP EPIREPVRDR0133005 C2 N  O/R 72 HRS PPR                                                                               ,,,,4,"communications_frequency,frequency_units,primary_1_123,sim_cont_1_123"
S,EEU,P,,EPIR,EP,V,TWR,0120030,,C,1,,N,A,,N52494300,E018194900,E0060,00276,N,,,,,,,,,,00,,,,,INOWROCLAW,,,,,,,,,SEEUP EPIREPVTWR0120030 C1   NA N52494300E018194900E006000276N                          00        INOWROCLAW               ,SEEUP EPIREPVTWR0120030 C2 T  1506301430                                                                                   ,,,,4,"communications_frequency,frequency_units,primary_1_123,sim_cont_1_123"
S,EEU,P,,EPJG,EP,V,RDO,0122905,,C,1,,N,A,,N50535500,E015470900,E0050,01127,N,,,,,,,,,,00,,,,,JELENIA GORA,,,,,,,,,SEEUP EPJGEPVRDO0122905 C1   NA N50535500E015470900E005001127N                          00        JELENIA GORA             ,SEEUP EPJGEPVRDO0122905 C2 N  PUBLISHED DAILY BY ATS (AUP).                                                                ,,,,2,"facility_elevation,primary_1_123"
S,EEU,P,,EPJS,EP,V,RDO,0122905,,C,1,,N,A,,N50535500,E015470900,E0050,01127,N,,,,,,,,,,00,,,,,JELENIA GORA,,,,,,,,,SEEUP EPJSEPVRDO0122905 C1   NA N50535500E015470900E005001127N                          00        JELENIA GORA             ,SEEUP EPJSEPVRDO0122905 C2 N  PUBLISHED DAILY BY ATS (AUP).                                                                ,,,,2,"facility_elevation,primary_1_123"
S,EEU,P,,EPKO,EP,V,INF,0127150,,V,0,F R,N,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,EPGD,EP,P,A,GDANSK,,,,,,,,,SEEUP EPKOEPVINF0127150 V0F RNA N54223900E018275800E007000488Y                          00EPGDEPPAGDANSK                   ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPKP,EP,V,RDO,0118605,,C,1,L,N,A,,N50051100,E020120800,E0060,00665,N,,,,,,,,,,00,,,,,POBIEDNIK,,,,,,,,,SEEUP EPKPEPVRDO0118605 C1  LNA N50051100E020120800E006000665N                          00        POBIEDNIK                ,SEEUP EPKPEPVRDO0118605 C2 N  MON-SUN 0700-2200Z & PUBLISHED DAILY BY ATS (AUP).                                           ,,,,5,"latitude,longitude,magnetic_variation,facility_elevation,primary_1_123"
S,EEU,P,,EPKS,EP,V,RDR,0120755,,C,1,,R,A,,N52195500,E016580000,E0050,00276,N,,,,,,,,,,00,,,,,KRZESINY PRECISION,,,,,,,,,SEEUP EPKSEPVRDR0120755 C1   RA N52195500E016580000E005000276N                          00        KRZESINY PRECISION       ,SEEUP EPKSEPVRDR0120755 C2 N  BY NOTAM                                                                                     ,,,,4,"communications_frequency,frequency_units,primary_1_123,sim_cont_1_123"
S,EEU,P,,EPKS,EP,V,TWR,0121030,,C,0,,N,A,,N52195500,E016580000,E0050,00276,Y,,,,,,,,,,00,,,,,KRZESINY,,,,,,,,,SEEUP EPKSEPVTWR0121030 C0   NA N52195500E016580000E005000276Y                          00        KRZESINY                 ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPLB,EP,V,TWR,0136430,,C,1,,N,A,,N51142500,E022424900,E0060,00637,N,,,,,,,,,,00,,,,,LUBLIN,,,,,,,,,SEEUP EPLBEPVTWR0136430 C1   NA N51142500E022424900E006000637N                          00        LUBLIN                   ,"SEEUP EPLBEPVTWR0136430 C2 N  DAILY 0700-1900Z, O/T 48 HRS PPR.                                                            ",,,,2,"facility_elevation,primary_1_123"
S,EEU,P,,EPLK,EP,V,APP,0125355,,C,0,M,R,A,,N51330400,E019105700,E0060,00639,Y,,,,,,,,,,00,,,,,LASK,,,,,,,,,SEEUP EPLKEPVAPP0125355 C0  MRA N51330400E019105700E006000639Y                          00        LASK                     ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPLK,EP,V,TWR,0133080,,C,0,M,N,A,,N51330400,E019105700,E0060,00639,Y,,,,,,,,,,00,,,,,LASK,,,,,,,,,SEEUP EPLKEPVTWR0133080 C0  MNA N51330400E019105700E006000639Y                          00        LASK                     ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
