record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,LBBG,LB,V,APP,0125100,,V,0,,R,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVAPP0125100 V0   RA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBBG,LB,V,ATI,0126980,T,C,0,,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP LBBGLBVATI0126980TC0   NA N42341300E027305500E006000135Y                          00                                 ,,,,
S,EEU,P,,LBBG,LB,V,TWR,0118000,,V,0,,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVTWR0118000 V0   NA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBBG,LB,V,TWR,0120000,,V,0,S,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVTWR0120000 V0 S NA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBWN,LB,V,APP,0124600,,V,0,,R,A,,N43135500,E027493100,E0060,00230,Y,,,,,,,,,,00,,,,,VARNA,,,,,,,,,SEEUP LBWNLBVAPP0124600 V0   RA N43135500E027493100E006000230Y                          00        VARNA                    ,,,,
S,EEU,P,,LBWN,LB,V,APP,0130450,,V,0,S,R,A,,N43135500,E027493100,E0060,00230,Y,,,,,,,,,,00,,,,,VARNA,,,,,,,,,SEEUP LBWNLBVAPP0130450 V0 S RA N43135500E027493100E006000230Y                          00        VARNA                    ,,,,
S,EEU,P,,LHBC,LH,V,INF,0133000,,V,0,F R,N,A,,N47262200,E019154300,E0050,00496,Y,,,,,,,,,,00,LHBP,LH,P,A,BUDAPEST INFORMATION EAST,,,,,,,,,SEEUP LHBCLHVINF0133000 V0F RNA N47262200E019154300E005000496Y                          00LHBPLHPABUDAPEST INFORMATION EAST,,,,
S,EEU,P,,LHBP,LH,V,INF,0119350,,V,0,F R,N,A,,N47262200,E019154300,E0050,00496,Y,,,,,,,,,,00,LHBP,LH,P,A,BUDAPEST INFORMATION NORT,,,,,,,,,SEEUP LHBPLHVINF0119350 V0F RNA N47262200E019154300E005000496Y                          00LHBPLHPABUDAPEST INFORMATION NORT,,,,
S,EEU,P,,LHDC,LH,V,INF,0133000,,V,0,F R,N,A,,N47262200,E019154300,E0050,00496,Y,,,,,,,,,,00,LHBP,LH,P,A,BUDAPEST INFORMATION EAST,,,,,,,,,SEEUP LHDCLHVINF0133000 V0F RNA N47262200E019154300E005000496Y                          00LHBPLHPABUDAPEST INFORMATION EAST,,,,
S,EEU,P,,LHUD,LH,V,INF,0133000,,V,0,F R,N,A,,N47262200,E019154300,E0050,00496,Y,,,,,,,,,,00,LHBP,LH,P,A,BUDAPEST INFORMATION EAST,,,,,,,,,SEEUP LHUDLHVINF0133000 V0F RNA N47262200E019154300E005000496Y                          00LHBPLHPABUDAPEST INFORMATION EAST,,,,
