record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,UZSA,UT,I,INL,2,10870,RW25,N40064452,E065083235,2520,N40071046,E065112721,1726,,1033,0000,300,E0060,58,01200,,,,,S,Simulation application continuation,U  N,,,23585,2105,SEEUP UZSAUTIINL 2   110870RW25 N40064452E0650832352520N40071046E0651127211726 10330000300E00605801200                     ,SEEUP UZSAUTIINL 2   2S    U  N                    25800N                              140                                 
S,EEU,P,UZSB,UT,I,IUH,1,11030,RW01,N39473430,E064291100,0050,N39455230,E064285400,1578,,1033,0000,300,E0050,54,00751,,,,,S,Simulation application continuation,U  N,,,23799,1612,SEEUP UZSBUTIIUH 1   111030RW01 N39473430E0642911000050N39455230E0642854001578 10330000300E00505400751                     ,SEEUP UZSBUTIIUH 1   2S    U  N                    01000N                              140                                 
S,EEU,P,UZSK,UT,I,IJP,1,10910,RW16,N38471270,E065464380,1590,N38483990,E065460400,1218,,1154,0000,300,E0050,54,01232,,,,,S,Simulation application continuation,U  N,,,24161,2013,SEEUP UZSKUTIIJP 1   110910RW16 N38471270E0654643801590N38483990E0654604001218 11540000300E00505401232                     ,SEEUP UZSKUTIIJP 1   2S    U  N                    16400N                              140                                 
S,EEU,P,UZSS,UT,I,IMZ,1,10950,RW09,N39420009,E067001266,0910,N39421393,E066580413,0867,,0912,0000,300,E0050,53,02200,,,,,S,Simulation application continuation,U  N,,,24345,2510,SEEUP UZSSUTIIMZ 1   110950RW09 N39420009E0670012660910N39421393E0665804130867 09120000300E00505302200                     ,SEEUP UZSSUTIIMZ 1   2S    U  N                    09600N                              140                                 
S,EEU,P,UZSS,UT,I,ISD,1,11070,RW27,N39421187,E066573946,2710,N39420626,E066594350,0981,,1093,0000,300,E0050,51,02200,,,,,S,Simulation application continuation,U  N,,,24347,2510,SEEUP UZSSUTIISD 1   111070RW27 N39421187E0665739462710N39420626E0665943500981 10930000300E00505102200                     ,SEEUP UZSSUTIISD 1   2S    U  N                    27600N                              140                                 
S,EEU,P,UZST,UT,I,INO,1,11030,RW25,N37165901,E067171872,2500,N37172923,E067191415,0989,,1033,0000,300,E0040,50,01100,,,,,S,Simulation application continuation,U  N,,,24476,2305,SEEUP UZSTUTIINO 1   111030RW25 N37165901E0671718722500N37172923E0671914150989 10330000300E00405001100                     ,SEEUP UZSTUTIINO 1   2S    U  N                    25400N                              140                                 
S,EEU,P,UZTP,UT,I,IIS,2,11150,RW08,N41185786,E069252438,0760,N41183551,E069223476,0963,,0912,0000,300,E0060,50,01583,,,,,S,Simulation application continuation,U  N,,,25370,2508,SEEUP UZTPUTIIIS 2   111150RW08 N41185786E0692524380760N41183551E0692234760963 09120000300E00605001583                     ,SEEUP UZTPUTIIIS 2   2S    U  N                    08200N                              140                                 
S,EEU,P,UZTP,UT,I,IRZ,2,10910,RW26,N41183664,E069220907,2560,N41185106,E069245837,0976,,1093,0000,300,E0060,50,01583,,,,,S,Simulation application continuation,U  N,,,25372,2508,SEEUP UZTPUTIIRZ 2   110910RW26 N41183664E0692209072560N41185106E0692458370976 10930000300E00605001583                     ,SEEUP UZTPUTIIRZ 2   2S    U  N                    26200N                              140                                 
S,EEU,P,UZTT,UT,I,IFD,1,10850,RW26R,N41151960,E069151380,2560,N41153260,E069174590,0926,,1519,0000,300,E0060,57,01400,,,,,S,Simulation application continuation,U  N,,,26076,2508,SEEUP UZTTUTIIFD 1   110850RW26RN41151960E0691513802560N41153260E0691745900926 15190000300E00605701400                     ,SEEUP UZTTUTIIFD 1   2S    U  N                    26200N                              140                                 
S,EEU,P,UZTT,UT,I,ING,2,11050,RW08L,N41154160,E069183330,0760,N41151980,E069155090,1346,,1033,0000,300,E0060,57,01400,,,,,S,Simulation application continuation,U  N,,,26078,2508,SEEUP UZTTUTIING 2   111050RW08LN41154160E0691833300760N41151980E0691550901346 10330000300E00605701400                     ,SEEUP UZTTUTIING 2   2S    U  N                    08200N                              140                                 
S,EEU,P,UZTT,UT,I,IZW,1,11170,RW08R,N41153370,E069182390,0760,N41151320,E069155080,0671,,0971,0000,300,E0060,51,01400,,,,,S,Simulation application continuation,U  N,,,26080,2508,SEEUP UZTTUTIIZW 1   111170RW08RN41153370E0691823900760N41151320E0691550800671 09710000300E00605101400                     ,SEEUP UZTTUTIIZW 1   2S    U  N                    08200N                              140                                 
S,EEU,P,ZBER,ZB,I,IER,1,10850,RW30,N43254690,E112041240,2970,N43251241,E112060539,0919,,1076,0000,300,W0070,49,03310,,,,,S,Simulation application continuation,U  N,,,29032,2507,SEEUP ZBERZBIIER 1   110850RW30 N43254690E1120412402970N43251241E1120605390919 10760000300W00704903310                     ,SEEUP ZBERZBIIER 1   2S    U  N                    29000N                              140                                 
S,EEU,P,ZGZJ,ZG,I,IWC,1,10955,RW15,N21280740,E110361100,1520,N21293930,E110351880,1050,,1053,0000,300,W0020,52,00089,,,,,S,Simulation application continuation,U  N,,,36518,2508,SEEUP ZGZJZGIIWC 1   110955RW15 N21280740E1103611001520N21293930E1103518801050 10530000300W00205200089                     ,SEEUP ZGZJZGIIWC 1   2S    U  N                    15000N                              140                                 
S,EEU,P,ZGZJ,ZG,I,IZU,1,10955,RW33,N21295530,E110350400,3320,N21282680,E110360380,1050,,0994,0000,300,W0020,54,00082,,,,,S,Simulation application continuation,U  N,,,36520,2508,SEEUP ZGZJZGIIZU 1   110955RW33 N21295530E1103504003320N21282680E1103603801050 09940000300W00205400082                     ,SEEUP ZGZJZGIIZU 1   2S    U  N                    33000N                              140                                 
S,EEU,P,ZHES,ZH,I,IGG,1,11030,RW01,N30200683,E109291616,0120,N30185040,E109290700,0820,,0974,0000,320,W0030,52,01637,,,,,S,Simulation application continuation,U  N,,,38397,2507,SEEUP ZHESZHIIGG 1   111030RW01 N30200683E1092916160120N30185040E1092907000820 09740000320W00305201637                     ,SEEUP ZHESZHIIGG 1   2S    U  N                    00900Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IMU,1,10930,RW26L,N43550679,E087265019,2510,N43554313,E087292292,1033,,1083,0000,300,E0030,49,02106,,,,,S,Simulation application continuation,U  N,,,61765,2507,SEEUP ZWWWZWIIMU 1   110930RW26LN43550679E0872650192510N43554313E0872922921033 10830000300E00304902106                     ,SEEUP ZWWWZWIIMU 1   2S    U  N                    25358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IQD,1,10955,RW08L,N43555719,E087294743,0710,N43553185,E087272892,1033,,1083,0000,300,E0030,49,02103,,,,,S,Simulation application continuation,U  N,,,61767,2507,SEEUP ZWWWZWIIQD 1   110955RW08LN43555719E0872947430710N43553185E0872728921033 10830000300E00304902103                     ,SEEUP ZWWWZWIIQD 1   2S    U  N                    07358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IUR,1,11110,RW26R,N43552229,E087270264,2510,N43555503,E087291819,1033,,1083,0000,300,E0030,49,02103,,,,,S,Simulation application continuation,U  N,,,61769,2507,SEEUP ZWWWZWIIUR 1   111110RW26RN43552229E0872702642510N43555503E0872918191033 10830000300E00304902103                     ,SEEUP ZWWWZWIIUR 1   2S    U  N                    25358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IWQ,1,11050,RW08R,N43554521,E087295219,0710,N43551638,E087271639,1033,,1079,0000,300,E0030,49,02106,,,,,S,Simulation application continuation,U  N,,,61771,2507,SEEUP ZWWWZWIIWQ 1   111050RW08RN43554521E0872952190710N43551638E0872716391033 10790000300E00304902106                     ,SEEUP ZWWWZWIIWQ 1   2S    U  N                    07358Y                              140                                 
