record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,MES,P,G,LTAC,RW03L,11125,0300,N40070407,E032590127,+0200,03104,0000,50,148,IAKR,,SMESP LTACLTGRW03L   1111250300 N40070407E032590127+0200          03104000050148 IAKR 0197                                 ,S,Simulation application continuation,SMESP LTACLTGRW03L   2S                            03619Y        T03110                                                    ,3,"rwy_mag_brg_tenths,primary_1_123,cont#2_1_123"
S,MES,P,G,LTAC,RW03R,12303,0300,N40060127,E032592306,,03088,0000,50,148,IAES,,SMESP LTACLTGRW03R   1123030300 N40060127E032592306               03088000050148 IAES 0000                                 ,S,Simulation application continuation,SMESP LTACLTGRW03R   2S                            03619Y        T03110                                                    ,11,"rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,primary_1_123,cont#2_1_123"
S,MES,P,G,LTAC,RW21L,12303,2100,N40073940,E033005657,,03158,0000,50,148,IAEG,,SMESP LTACLTGRW21L   1123032100 N40073940E033005657               03158000050148 IAEG 0000                                 ,S,Simulation application continuation,SMESP LTACLTGRW21L   2S                            21619Y        L03158                                                    ,10,"rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,rwy_width_ft,loc_mls_gls_ident,primary_1_123,cont#2_1_123"
S,MES,P,G,LTAC,RW21R,11125,2100,N40083281,E033002584,-0200,03124,0000,50,148,IEBG,,SMESP LTACLTGRW21R   1111252100 N40083281E033002584-0200          03124000050148 IEBG 1001                                 ,S,Simulation application continuation,SMESP LTACLTGRW21R   2S                            21619Y        L03124                                                    ,2,"rwy_mag_brg_tenths,primary_1_123"
