record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,CHW,ZL,11450,VDHW,N39511800,E098210000,,N39511800,E098210000,W0010,05115,2,,,WGE,JIAYUGUAN,S,Simulation application continuation,UN,W0014,05115,71845,1913,SEEUD        CHW   ZL111450VDHW N39511800E098210000    N39511800E098210000W0010051152     WGEJIAYUGUAN                     ,SEEUD        CHW   ZL2S    UN                                             W001405115                                       
S,EEU,D,,,,,GMM,ZU,11250,VDHW,N29254800,E094271800,,N29254800,E094271800,W0000,09604,2,,518,WGE,GAMA,S,Simulation application continuation,UN,W0006,09604,72027,2413,SEEUD        GMM   ZU111250VDHW N29254800E094271800    N29254800E094271800W0000096042  518WGEGAMA                          ,SEEUD        GMM   ZU2S    UN                                             W000609604                                       
S,EEU,D,,,,,GRU,EP,11460,VDHW,N53311600,E018465300,,N53311600,E018465300,E0040,00300,2,,331,WGE,GRUDZIADZ,S,Simulation application continuation,UN,E0066,00300,72045,2406,SEEUD        GRU   EP111460VDHW N53311600E018465300    N53311600E018465300E0040003002  331WGEGRUDZIADZ                     ,SEEUD        GRU   EP2S    UN                                             E006600300                                       
S,EEU,D,,,,,MZL,ZY,11310,VDHW,N49194200,E117384200,,N49194200,E117384200,W0100,02231,2,,273,WGE,MANZHOULI,S,Simulation application continuation,UN,W0103,02231,72481,2305,SEEUD        MZL   ZY111310VDHW N49194200E117384200    N49194200E117384200W0100022312  273WGEMANZHOULI                     ,SEEUD        MZL   ZY2S    UN                                             W010302231                                       
S,EEU,D,,,,,QIY,ZL,11340,VDHW,N35474800,E107355400,,N35474800,E107355400,W0030,04629,2,,513,WGE,QINGYANG,S,Simulation application continuation,UN,W0040,04629,72673,1913,SEEUD        QIY   ZL111340VDHW N35474800E107355400    N35474800E107355400W0030046292  513WGEQINGYANG                      ,SEEUD        QIY   ZL2S    UN                                             W004004629                                       
S,EEU,D,,,,,URG,UT,11420,VDUW,N41344410,E060391790,,N41344410,E060391790,E0060,00322,2,,417,WGE,URGENCH,S,Simulation application continuation,UN,E0065,00322,72987,2410,SEEUD        URG   UT111420VDUW N41344410E060391790    N41344410E060391790E0060003222  417WGEURGENCH                       ,SEEUD        URG   UT2S    UN                                             E006500322                                       
S,EEU,D,,,,,ZAO,VM,11720,VDHW,N22144200,E113364200,,N22144200,E113364200,W0030,00155,2,,,WGE,JIUZHOU,S,Simulation application continuation,UN,W0032,00155,73149,2201,SEEUD        ZAO   VM111720VDHW N22144200E113364200    N22144200E113364200W0030001552     WGEJIUZHOU                       ,SEEUD        ZAO   VM2S    UN                                             W003200155                                       
