record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,MES,D,,LTAC,LT,,IAEG,LT,11075,IT N,,,IAEG,N40072860,E033005290,,03169,0,,,WGE,ESENBOGA,SMESD LTACLT IAEG  LT111075 IT N                   IAEGN40072860E033005290     031690     WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IAEG  LT2S    UN                                             E006203169                                       
S,MES,D,,LTAC,LT,,IAES,LT,11090,IT N,,,IAES,N40060680,E032593470,,03110,0,,174,WGE,ESENBOGA,SMESD LTACLT IAES  LT111090 IT N                   IAESN40060680E032593470     031100  174WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IAES  LT2S    UN                                             E006203110                                       
S,MES,D,,LTAC,LT,,IAKR,LT,10890,IT N,,,IAKR,N40071400,E032590450,,03150,0,,131,WGE,ESENBOGA,SMESD LTACLT IAKR  LT110890 IT N                   IAKRN40071400E032590450     031500  131WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IAKR  LT2S    UN                                             E006203150                                       
S,MES,D,,LTAC,LT,,IANK,LT,11030,IT N,,,IANK,N40070010,E032590290,,03150,0,,142,WGE,ESENBOGA,SMESD LTACLT IANK  LT111030 IT N                   IANKN40070010E032590290     031500  142WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IANK  LT2S    UN                                             E006203150                                       
S,MES,D,,LTAC,LT,,IEBG,LT,10830,IT N,,,IEBG,N40082650,E033001350,,03166,0,,231,WGE,ESENBOGA,SMESD LTACLT IEBG  LT110830 IT N                   IEBGN40082650E033001350     031660  231WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IEBG  LT2S    UN                                             E006203166                                       
S,MES,D,,LTAC,LT,,IESB,LT,10810,IT N,,,IESB,N40082300,E033002200,,03169,0,,147,WGE,ESENBOGA,SMESD LTACLT IESB  LT110810 IT N                   IESBN40082300E033002200     031690  147WGEESENBOGA                      ,S,Simulation application continuation,SMESD LTACLT IESB  LT2S    UN                                             E006203169                                       
