record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,AFR,P,FALE,FA,I,TNI,2,11130,RW06,S29354461,E031075982,0640,S29372446,E031063848,1263,,1033,0000,300,W0270,58,00290,,,,,SAFRP FALEFAITNI 2   111130RW06 S29354461E0310759820640S29372446E0310638481263 10330000300W02705800290                     ,S,Simulation application continuation,SAFRP FALEFAITNI 2   2S    U  N                    03700N                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123"
S,AFR,P,FAOR,FA,I,JAI,2,10990,RW21L,S26100450,E028144970,2160,S26081590,E028152780,1199,,0850,0000,300,W0200,51,05499,,,,,SAFRP FAORFAIJAI 2   110990RW21LS26100450E0281449702160S26081590E0281527801199 08500000300W02005105499                     ,S,Simulation application continuation,SAFRP FAORFAIJAI 2   2S    U  N                    19600N                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123"
S,AFR,P,FAOR,FA,I,JBI,2,11090,RW21R,S26090363,E028135851,2150,S26065343,E028144329,1732,,0972,0000,300,W0200,51,05557,,,,,SAFRP FAORFAIJBI 2   111090RW21RS26090363E0281358512150S26065343E0281443291732 09720000300W02005105557                     ,S,Simulation application continuation,SAFRP FAORFAIJBI 2   2S    U  N                    19500N                              140                                 ,5,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123,cont#2_1_123"
S,AFR,P,FAOR,FA,I,JNI,2,10910,RW03R,S26075760,E028152890,0360,S26094590,E028150000,0896,,0851,0000,300,W0200,50,05515,,,,,SAFRP FAORFAIJNI 2   110910RW03RS26075760E0281528900360S26094590E0281500000896 08510000300W02005005515                     ,S,Simulation application continuation,SAFRP FAORFAIJNI 2   2S    U  N                    01600N                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123"
S,AFR,P,FAPE,FA,I,PEI,2,11110,RW08,S33585840,E025371625,0880,S33592842,E025360944,1059,,1155,0000,300,W0300,49,00213,,,,,SAFRP FAPEFAIPEI 2   111110RW08 S33585840E0253716250880S33592842E0253609441059 11550000300W03004900213                     ,S,Simulation application continuation,SAFRP FAPEFAIPEI 2   2S    U  N                    05800Y                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123"
S,AFR,P,FEFF,FE,I,BGI,2,11030,RW34,N04245124,E018305571,3440,N04232720,E018312156,1292,,0972,0000,300,E0010,55,01183,,,,,SAFRP FEFFFEIBGI 2   111030RW34 N04245124E0183055713440N04232720E0183121561292 09720000300E00105501183                     ,S,Simulation application continuation,SAFRP FEFFFEIBGI 2   2S    U  N                    34500N                              140                                 ,7,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_elevation,primary_1_123"
S,AFR,P,FGBT,FG,I,BA,1,10910,RW21,N01531390,E009475390,2090,N01544950,E009483710,0804,,1093,0000,300,W0020,50,00030,,,,,SAFRP FGBTFGIBA  1   110910RW21 N01531390E0094753902090N01544950E0094837100804 10930000300W00205000030                     ,S,Simulation application continuation,SAFRP FGBTFGIBA  1   2S    U  N                    20700N                              140                                 ,6,"localizer_latitude,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_position,primary_1_123"
S,AFR,P,FGMY,FG,I,MY,2,10990,RW18,N01393789,E011013289,1790,N01411464,E011013135,0985,,1093,0000,300,W0020,50,02173,,,,,SAFRP FGMYFGIMY  2   110990RW18 N01393789E0110132891790N01411464E0110131350985 10930000300W00205002173                     ,S,Simulation application continuation,SAFRP FGMYFGIMY  2   2S    U  N                    17700N                              140                                 ,2,"localizer_position,primary_1_123"
S,AFR,P,FKKD,FK,I,DL,1,11030,RW30,N04004894,E009421669,2970,N04000207,E009434014,1437,,1078,0000,300,W0000,49,00033,,,,,SAFRP FKKDFKIDL  1   111030RW30 N04004894E0094216692970N04000207E0094340141437 10780000300W00004900033                     ,S,Simulation application continuation,SAFRP FKKDFKIDL  1   2S    U  N                    29700N                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_height_lthr,primary_1_123"
S,AFR,P,FKYS,FK,I,YA,2,10990,RW19,N03421838,E011330107,1900,N03440325,E011332338,0853,,1247,0000,300,E0000,49,02287,,,,,SAFRP FKYSFKIYA  2   110990RW19 N03421838E0113301071900N03440325E0113323380853 12470000300E00004902287                     ,S,Simulation application continuation,SAFRP FKYSFKIYA  2   2S    U  N                    19000N                              140                                 ,2,"station_declination,primary_1_123"
