record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,CAN,D,,,,,XBG,CY,11180,TH,,,XBG,N48194616,W070594440,W0180,00531,2,,419,NAR,BAGOTVILLE,SCAND        XBG   CY111180 TH                     XBG N48194616W070594440W0180005312  419NARBAGOTVILLE                    ,S,Simulation application continuation,SCAND        XBG   CY2S    UY                                             W0156                                            
S,CAN,D,,,,,YYJ,CY,11370,DU,,,YYJ,N48433738,W123290416,,01997,2,,491,NAR,VICTORIA,SCAND        YYJ   CY111370 DU                     YYJ N48433738W123290416     019972  491NARVICTORIA                      ,S,Simulation application continuation,SCAND        YYJ   CY2S    UN                                             E0155                                            
S,CAN,D,,,,,YYN,CY,11740,VDUW,N50174935,W107412725,,N50174935,W107412725,E0120,02684,2,,524,NAR,SWIFT CURRENT,SCAND        YYN   CY111740VDUW N50174935W107412725    N50174935W107412725E0120026842  524NARSWIFT CURRENT                 ,S,Simulation application continuation,SCAND        YYN   CY2S    UN                                             E010202668                                       
S,CAN,D,,CYBL,CY,,IBL,CY,10910,IT N,,,IBL,N49571863,W125164910,,00376,0,,356,NAR,CAMPBELL RIVER,SCAND CYBLCY IBL   CY110910 IT N                   IBL N49571863W125164910     003760  356NARCAMPBELL RIVER                ,S,Simulation application continuation,SCAND CYBLCY IBL   CY2S    UU                                             E016000376                                       
S,CAN,D,B,,,,2K,CY,04050,H MW,N53015600,W112484800,,,,E0150,,,,,NAR,CAMROSE,SCANDB       2K    CY104050H MW N53015600W112484800                       E0150           NARCAMROSE                       ,S,Simulation application continuation,SCANDB       2K    CY2S     U21                                                02449                                       
S,CAN,D,B,,,,5F,CY,03530,H MW,N54224300,W116450600,,,,E0170,,,,,NAR,FOX CREEK,SCANDB       5F    CY103530H MW N54224300W116450600                       E0170           NARFOX CREEK                     ,S,Simulation application continuation,SCANDB       5F    CY2S     U21                                                                                            
S,CAN,D,B,,,,AMF,PA,04030,H  W,N67061887,W157513654,,,,E0150,,,,,NAR,AMBLER,SCANDB       AMF   PA104030H  W N67061887W157513654                       E0150           NARAMBLER                        ,S,Simulation application continuation,SCANDB       AMF   PA2S     N21                                                00258                                       
S,CAN,D,B,,,,ANV,PA,03650,H  W,N62382925,W160110720,,,,E0150,,,,,NAR,ANVIK,SCANDB       ANV   PA103650H  W N62382925W160110720                       E0150           NARANVIK                         ,S,Simulation application continuation,SCANDB       ANV   PA2S     U21                                                00318                                       
S,CAN,D,B,,,,AUB,PA,03550,H  W,N58441380,W156464191,,,,E0110,,,,,NAR,CHINOOK (KING SALMON),SCANDB       AUB   PA103550H  W N58441380W156464191                       E0110           NARCHINOOK (KING SALMON)         ,S,Simulation application continuation,SCANDB       AUB   PA2S     N21                                                00066                                       
S,CAN,D,B,,,,BR,CY,02330,H MW,N49542926,W100042423,,,,E0070,,,,,NAR,BRANDON,SCANDB       BR    CY102330H MW N49542926W100042423                       E0070           NARBRANDON                       ,S,Simulation application continuation,SCANDB       BR    CY2S     U21                                                01485                                       
