record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123,changed_field_count,changed_fields
S,SAM,P,,SCCC,SC,V,INF,0127700,,V,1,S L,N,A,,S46345909,W071410733,E0100,01070,N,,,,,,,,,,00,,,,,CHILE CHICO,SSAMP SCCCSCVINF0127700 V1S LNA S46345909W071410733E010001070N                          00        CHILE CHICO              ,,,SSAMP SCCCSCVINF0127700 V2 T  14113020300511301930                                                                         ,,,,,,,,,,,,,3,"service_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SCCC,SC,V,INF,0545400,,H,1,,N,A,B,S46345300,W071411200,E0120,01070,N,,,,,,,,,,00,,,,,CHILE CHICO,SSAMP SCCCSCVINF0545400 H1   NABS46345300W071411200E012001070N                          00        CHILE CHICO              ,,,SSAMP SCCCSCVINF0545400 H2 T  14123021300512302030                                                                         ,,,,,,,,,,,,,2,"service_indicator,primary_1_123"
S,SAM,P,,SCCL,SC,V,TWR,0118300,,V,1,,N,A,,S27154200,W070464500,W0025,00670,N,,,,,,,,,,00,,,,,ATACAMA,SSAMP SCCLSCVTWR0118300 V1   NA S27154200W070464500W002500670N                          00        ATACAMA                  ,,,SSAMP SCCLSCVTWR0118300 V2 T  011230003017123000300712300030                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCCY,SC,V,INF,0126700,,V,1,S L,N,A,,S45353700,W072061900,E0094,01020,N,,,,,,,,,,00,,,,,COYHAIQUE,SSAMP SCCYSCVINF0126700 V1S LNA S45353700W072061900E009401020N                          00        COYHAIQUE                ,,,SSAMP SCCYSCVINF0126700 V2 T  1710302300                                                                                   ,,,,,,,,,,,,,3,"service_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SCCY,SC,V,RDO,0545400,,H,1,A,N,A,3,S45353700,W072061900,E0094,01020,N,,,,,,,,,,00,,,,,COYHAIQUE,SSAMP SCCYSCVRDO0545400 H1  ANA3S45353700W072061900E009401020N                          00        COYHAIQUE                ,,,SSAMP SCCYSCVRDO0545400 H2 T  1710302300                                                                                   ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCEL,SC,V,GND,0122600,,V,1,,R,A,,S33233999,W070473769,E0009,01555,Y,,,,,SCEL,SC,P,A,,00,,,,,SANTIAGO,SSAMP SCELSCVGND0122600 V1   RA S33233999W070473769E000901555Y                 SCELSCPA 00        SANTIAGO                 ,,,SSAMP SCELSCVGND0122600 V2 E                                                                                               ,,,,,,,,,,,,,7,"cont_no_column_26,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,primary_1_123,cont#2_1_123"
S,SAM,P,,SCEL,SC,V,INF,0122400,,V,1,,N,A,,S33233999,W070473769,E0009,01555,N,,,,,,,,,,00,SCEL,SC,P,A,SANTIAGO INFORMATION,SSAMP SCELSCVINF0122400 V1   NA S33233999W070473769E000901555N                          00SCELSCPASANTIAGO INFORMATION     ,,,SSAMP SCELSCVINF0122400 V2 T  171200000S                                                                                   ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCES,SC,V,INF,0127700,,V,1,S L,N,A,,S26184100,W069455500,W0044,05240,N,,,,,,,,,,00,,,,,EL SALVADOR,SSAMP SCESSCVINF0127700 V1S LNA S26184100W069455500W004405240N                          00        EL SALVADOR              ,,,SSAMP SCESSCVINF0127700 V2 H  14120021000512002000                                                                         ,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SCFA,SC,V,RDR,0119300,,V,0,,R,A,,S23264000,W070264200,W0048,00455,Y,,,,,,,,,,00,,,,,ANTOFAGASTA,SSAMP SCFASCVRDR0119300 V0   RA S23264000W070264200W004800455Y                          00        ANTOFAGASTA              ,,,,,,,,,,,,,,,,2,"service_indicator,primary_1_123"
S,SAM,P,,SCFA,SC,V,RDR,0120900,,V,0,S,R,A,,S23264000,W070264200,W0048,00455,Y,,,,,,,,,,00,,,,,ANTOFAGASTA,SSAMP SCFASCVRDR0120900 V0 S RA S23264000W070264200W004800455Y                          00        ANTOFAGASTA              ,,,,,,,,,,,,,,,,2,"service_indicator,primary_1_123"
