record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123
S,USA,P,,KCRS,K4,V,ACC,0135250,,V,0,G,R,A,,N32042858,W095315085,E0020,00624,Y,,,,,,,,,,00,,,,,FT WORTH,SUSAP KCRSK4VACC0135250 V0  GRA N32042858W095315085E002000624Y                          00        FT WORTH                 ,,,,,,,,,,,,,,,
S,USA,P,,KCWI,K3,V,UNI,0122800,,V,0,C,N,A,,N41495070,W090194430,E0000,00708,Y,,,,,,,,,,00,,,,,CLINTON MUN,SUSAP KCWIK3VUNI0122800 V0 C NA N41495070W090194430E000000708Y                          00        CLINTON MUN              ,,,,,,,,,,,,,,,
S,USA,P,,KCXL,K2,V,ACC,0128550,,V,0,G,R,A,,N32493300,W115403100,E0110,00010,Y,,,,,,,,,,00,,,,,YUMA,SUSAP KCXLK2VACC0128550 V0  GRA N32493300W115403100E011000010Y                          00        YUMA                     ,,,,,,,,,,,,,,,
S,USA,P,,KDCA,K6,V,HEL,0134350,,V,0,,R,A,,N38510519,W077021580,W0110,00014,Y,,,,,,,,,,00,,,,,WASHINGTON,SUSAP KDCAK6VHEL0134350 V0   RA N38510519W077021580W011000014Y                          00        WASHINGTON               ,,,,,,,,,,,,,,,
S,USA,P,,KDDH,K6,V,GCO,0121725,,V,0,,N,A,,N42532879,W073144705,W0140,00827,Y,,,,,,,,,,00,,,,,BURLINGTON CD/FSS,SUSAP KDDHK6VGCO0121725 V0   NA N42532879W073144705W014000827Y                          00        BURLINGTON CD/FSS        ,,,,,,,,,,,,,,,
S,USA,P,,KDTO,K4,V,UNI,0122950,,V,0,,N,A,,N33120706,W097115675,E0040,00643,Y,,,,,,,,,,00,,,,,DENTON,SUSAP KDTOK4VUNI0122950 V0   NA N33120706W097115675E004000643Y                          00        DENTON                   ,,,,,,,,,,,,,,,
S,USA,P,,KDTS,K7,V,UNI,0123075,,V,0,,N,A,,N30240020,W086281730,W0010,00023,Y,,,,,,,,,,00,,,,,DESTIN,SUSAP KDTSK7VUNI0123075 V0   NA N30240020W086281730W001000023Y                          00        DESTIN                   ,,,,,,,,,,,,,,,
S,USA,P,,KDYA,K7,V,AWO,0119350,T,V,0,S,N,A,,N32303780,W087230520,W0030,00220,Y,,,,,,,,,,00,,,,,,SUSAP KDYAK7VAWO0119350TV0 S NA N32303780W087230520W003000220Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KEKX,K5,V,APP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KEKXK5VAPP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KEKX,K5,V,AWO,0121025,T,V,0,,N,A,,N37410960,W085553010,W0030,00776,Y,,,,,,,,,,00,,,,,,SUSAP KEKXK5VAWO0121025TV0   NA N37410960W085553010W003000776Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KEKX,K5,V,DEP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KEKXK5VDEP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KETN,K4,V,ACC,0127150,,V,0,G,R,A,,N32043431,W098194225,E0040,01493,Y,,,,,,,,,,00,,,,,FT WORTH,SUSAP KETNK4VACC0127150 V0  GRA N32043431W098194225E004001493Y                          00        FT WORTH                 ,,,,,,,,,,,,,,,
S,USA,P,,KFKL,K6,V,ASO,0121425,T,V,0,S,N,A,,N41373550,W080125300,W0080,01399,Y,,,,,,,,,,00,,,,,,SUSAP KFKLK6VASO0121425TV0 S NA N41373550W080125300W008001399Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KFRG,K6,V,ASO,0126650,T,V,0,,N,A,,N40434539,W073244832,W0140,00082,Y,,,,,,,,,,00,,,,,,SUSAP KFRGK6VASO0126650TV0   NA N40434539W073244832W014000082Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KFRH,K5,V,APP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KFRHK5VAPP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KFRH,K5,V,DEP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KFRHK5VDEP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KFTK,K5,V,APP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KFTKK5VAPP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KFTK,K5,V,DEP,0132075,,V,0,,R,A,,N38102671,W085441138,W0050,00501,Y,,,,,,,,,,00,,,,,LOUISVILLE,SUSAP KFTKK5VDEP0132075 V0   RA N38102671W085441138W005000501Y                          00        LOUISVILLE               ,,,,,,,,,,,,,,,
S,USA,P,,KGAD,K7,V,UNI,0122800,,V,0,CP,N,A,,N33582154,W086052070,W0030,00569,Y,,,,,,,,,,00,,,,,NORTHEAST ALABAMA REGL,SUSAP KGADK7VUNI0122800 V0 CPNA N33582154W086052070W003000569Y                          00        NORTHEAST ALABAMA REGL   ,,,,,,,,,,,,,,,
S,USA,P,,KGDJ,K4,V,ACC,0127150,,V,0,G,R,A,,N32043431,W098194225,E0040,01493,Y,,,,,,,,,,00,,,,,FT WORTH,SUSAP KGDJK4VACC0127150 V0  GRA N32043431W098194225E004001493Y                          00        FT WORTH                 ,,,,,,,,,,,,,,,
S,USA,P,,KGHM,K7,V,ACC,0125850,,V,0,G,R,A,,N35503000,W087255400,W0040,00847,Y,,,,,,,,,,00,,,,,MEMPHIS,SUSAP KGHMK7VACC0125850 V0  GRA N35503000W087255400W004000847Y                          00        MEMPHIS                  ,,,,,,,,,,,,,,,
S,USA,P,,KGKJ,K6,V,ASO,0121425,T,V,0,,N,A,,N41373550,W080125300,W0080,01399,Y,,,,,,,,,,00,,,,,,SUSAP KGKJK6VASO0121425TV0   NA N41373550W080125300W008001399Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KGMU,K7,V,ASO,0134250,T,V,1,S,N,A,,N34534442,W082130789,W0060,00964,N,,,,,,,,,,00,,,,,,SUSAP KGMUK7VASO0134250TV1 S NA N34534442W082130789W006000964N                          00                                 ,,,SUSAP KGMUK7VASO0134250TV2 T  1704451100                                                                                   ,,,,,,,,,,,,
