record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,P,UZFN,UT,I,ISA,1,11010,RW28,N40592470,E071320995,2830,N40584626,E071341895,0674,,0791,0000,300,E0050,52,01705,,,,,SEEUP UZFNUTIISA 1   111010RW28 N40592470E0713209952830N40584626E0713418950674 07910000300E00505201705                     ,S,Simulation application continuation,SEEUP UZFNUTIISA 1   2S    U  N                    28857Y                              140                                 
S,EEU,P,UZNN,UT,I,IZR,1,11030,RW33,N42303340,E059363550,3280,N42284450,E059373970,3164,,0971,0000,300,E0070,54,00249,,,,,SEEUP UZNNUTIIZR 1   111030RW33 N42303340E0593635503280N42284450E0593739703164 09710000300E00705400249                     ,S,Simulation application continuation,SEEUP UZNNUTIIZR 1   2S    U  N                    33500N                              140                                 
S,EEU,P,UZNU,UT,I,INU,1,10950,RW31,N41354620,E060374130,3130,N41343140,E060391450,1518,,1093,0000,300,E0070,56,00322,,,,,SEEUP UZNUUTIINU 1   110950RW31 N41354620E0603741303130N41343140E0603914501518 10930000300E00705600322                     ,S,Simulation application continuation,SEEUP UZNUUTIINU 1   2S    U  N                    32000N                              140                                 
S,EEU,P,UZSA,UT,I,IHG,2,10930,RW07,N40072066,E065120309,0720,N40064592,E065090875,1927,,1093,0000,300,E0060,57,01200,,,,,SEEUP UZSAUTIIHG 2   110930RW07 N40072066E0651203090720N40064592E0650908751927 10930000300E00605701200                     ,S,Simulation application continuation,SEEUP UZSAUTIIHG 2   2S    U  N                    07800N                              140                                 
S,EEU,P,UZSA,UT,I,INL,2,10870,RW25,N40064452,E065083235,2520,N40071046,E065112721,1726,,1033,0000,300,E0060,58,01200,,,,,SEEUP UZSAUTIINL 2   110870RW25 N40064452E0650832352520N40071046E0651127211726 10330000300E00605801200                     ,S,Simulation application continuation,SEEUP UZSAUTIINL 2   2S    U  N                    25800N                              140                                 
S,EEU,P,UZSB,UT,I,IUH,1,11030,RW01,N39473430,E064291100,0050,N39455230,E064285400,1578,,1033,0000,300,E0050,54,00751,,,,,SEEUP UZSBUTIIUH 1   111030RW01 N39473430E0642911000050N39455230E0642854001578 10330000300E00505400751                     ,S,Simulation application continuation,SEEUP UZSBUTIIUH 1   2S    U  N                    01000N                              140                                 
S,EEU,P,UZSK,UT,I,IJP,1,10910,RW16,N38471270,E065464380,1590,N38483990,E065460400,1218,,1154,0000,300,E0050,54,01232,,,,,SEEUP UZSKUTIIJP 1   110910RW16 N38471270E0654643801590N38483990E0654604001218 11540000300E00505401232                     ,S,Simulation application continuation,SEEUP UZSKUTIIJP 1   2S    U  N                    16400N                              140                                 
S,EEU,P,UZSS,UT,I,IMZ,1,10950,RW09,N39420009,E067001266,0910,N39421393,E066580413,0867,,0912,0000,300,E0050,53,02200,,,,,SEEUP UZSSUTIIMZ 1   110950RW09 N39420009E0670012660910N39421393E0665804130867 09120000300E00505302200                     ,S,Simulation application continuation,SEEUP UZSSUTIIMZ 1   2S    U  N                    09600N                              140                                 
S,EEU,P,UZSS,UT,I,ISD,1,11070,RW27,N39421187,E066573946,2710,N39420626,E066594350,0981,,1093,0000,300,E0050,51,02200,,,,,SEEUP UZSSUTIISD 1   111070RW27 N39421187E0665739462710N39420626E0665943500981 10930000300E00505102200                     ,S,Simulation application continuation,SEEUP UZSSUTIISD 1   2S    U  N                    27600N                              140                                 
S,EEU,P,UZST,UT,I,INO,1,11030,RW25,N37165901,E067171872,2500,N37172923,E067191415,0989,,1033,0000,300,E0040,50,01100,,,,,SEEUP UZSTUTIINO 1   111030RW25 N37165901E0671718722500N37172923E0671914150989 10330000300E00405001100                     ,S,Simulation application continuation,SEEUP UZSTUTIINO 1   2S    U  N                    25400N                              140                                 
