record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,EUR,D,,,,,DML,LP,11450,DH,,,DML,N37420270,W007454910,,01181,2,,,WGE,ALCARIA RUIVA,SEURD        DML   LP111450 DH                     DML N37420270W007454910     011812     WGEALCARIA RUIVA                 ,S,Simulation application continuation,SEURD        DML   LP2S    UN                                             W0006                                            ,1,cont#2_1_123
S,EUR,D,,,,,DMN,ED,11600,DL,,,DMN,N48220076,E011473844,,01480,1,,215,WGE,MUNICH,SEURD        DMN   ED111600 DL                     DMN N48220076E011473844     014801  215WGEMUNICH                        ,S,Simulation application continuation,SEURD        DMN   ED2S    UN                                             E0043                                            ,1,cont#2_1_123
S,EUR,D,,,,,DMS,ED,11500,DL,,,DMS,N48202648,E011464141,,01505,1,,210,WGE,MUNICH,SEURD        DMS   ED111500 DL                     DMS N48202648E011464141     015051  210WGEMUNICH                        ,S,Simulation application continuation,SEURD        DMS   ED2S    UN                                             E0043                                            ,1,cont#2_1_123
S,EUR,D,,,,,DMT,LP,11080,DH,,,DMT,N39043800,W008111500,,00800,2,,454,WGE,MONTARGIL,SEURD        DMT   LP111080 DH                     DMT N39043800W008111500     008002  454WGEMONTARGIL                     ,S,Simulation application continuation,SEURD        DMT   LP2S    UN                                             W0008                                            ,1,cont#2_1_123
S,EUR,D,,,,,DMU,LP,11380,DH,,,DMU,N41484600,W008114300,,04560,2,,410,WGE,MURO,SEURD        DMU   LP111380 DH                     DMU N41484600W008114300     045602  410WGEMURO                          ,S,Simulation application continuation,SEURD        DMU   LP2S    UU                                             W0009                                            ,1,cont#2_1_123
S,EUR,D,,,,,DMX,LP,10850,DH,,,DMX,N37094450,W008365220,,00197,2,,566,WGE,MEXILHOEIRA GRANDE,SEURD        DMX   LP110850 DH                     DMX N37094450W008365220     001972  566WGEMEXILHOEIRA GRANDE            ,S,Simulation application continuation,SEURD        DMX   LP2S    UN                                             W0009                                            ,1,cont#2_1_123
S,EUR,D,,,,,DND,ED,11540,DL,,,DND,N51074621,E013452726,,00761,1,,221,WGE,WAX,SEURD        DND   ED111540 DL                     DND N51074621E013452726     007611  221WGEWAX                           ,S,Simulation application continuation,SEURD        DND   ED2S    UN                                             E0050                                            ,1,cont#2_1_123
S,EUR,D,,,,,DOL,LJ,11270,VDHW,N46050290,E014464290,,N46050290,E014464290,E0050,02058,2,,439,WGE,DOLSKO,SEURD        DOL   LJ111270VDHW N46050290E014464290    N46050290E014464290E0050020582  439WGEDOLSKO                        ,S,Simulation application continuation,SEURD        DOL   LJ2S    UY                                             E0047                                            ,2,"station_declination,primary_1_123"
S,EUR,D,,,,,DOR,ED,10865,VDHW,N51313123,E007375180,,N51313123,E007375180,E0010,00416,2,,256,WGE,WICKEDE (DORTMUND),SEURD        DOR   ED110865VDHW N51313123E007375180    N51313123E007375180E0010004162  256WGEWICKEDE (DORTMUND)            ,S,Simulation application continuation,SEURD        DOR   ED2S    UU                                             E0034                                            ,1,cont#2_1_123
S,EUR,D,,,,,DPR,LP,11150,DH,,,DPR,N37264920,W007352480,,00886,2,,264,WGE,PEREIRO,SEURD        DPR   LP111150 DH                     DPR N37264920W007352480     008862  264WGEPEREIRO                       ,S,Simulation application continuation,SEURD        DPR   LP2S    UN                                             W0006                                            ,1,cont#2_1_123
S,EUR,D,,,,,DSC,LP,11070,DH,,,DSC,N39272836,W031073928,,00122,2,,,WGE,SANTA CRUZ,SEURD        DSC   LP111070 DH                     DSC N39272836W031073928     001222     WGESANTA CRUZ                    ,S,Simulation application continuation,SEURD        DSC   LP2S    UN                                             W0090                                            ,1,cont#2_1_123
S,EUR,D,,,,,DSL,LP,10930,DH,,,DSL,N37182720,W007574420,,01969,2,,137,WGE,SALIR,SEURD        DSL   LP110930 DH                     DSL N37182720W007574420     019692  137WGESALIR                         ,S,Simulation application continuation,SEURD        DSL   LP2S    UN                                             W0007                                            ,1,cont#2_1_123
S,EUR,D,,,,,DTY,EG,11640,VDH,N52104851,W001064964,,N52104851,W001064964,E0010,00600,2,,227,WGE,DAVENTRY,SEURD        DTY   EG111640VDH  N52104851W001064964    N52104851W001064964E0010006002  227WGEDAVENTRY                      ,S,Simulation application continuation,SEURD        DTY   EG2S    UN                                             E000600600                                       ,1,cont#2_1_123
S,EUR,D,,,,,DUB,EI,11490,VDH,N53295780,W006182560,,N53295780,W006182560,W0020,00200,2,,414,WGE,DUBLIN,SEURD        DUB   EI111490VDH  N53295780W006182560    N53295780W006182560W0020002002  414WGEDUBLIN                        ,S,Simulation application continuation,SEURD        DUB   EI2S    UN                                             W001400200                                       ,1,cont#2_1_123
S,EUR,D,,,,,DUD,EG,11545,DH,,,DUD,N55333170,W004360554,,00506,2,,,WGE,DUNDONALD,SEURD        DUD   EG111545 DH                     DUD N55333170W004360554     005062     WGEDUNDONALD                     ,S,Simulation application continuation,SEURD        DUD   EG2S    UN                                             W0010                                            ,1,cont#2_1_123
S,EUR,D,,,,,DUF,EG,11525,DH,,,DUF,N54410060,W002270366,,02803,2,,544,WGE,GREAT DUN FELL,SEURD        DUF   EG111525 DH                     DUF N54410060W002270366     028032  544WGEGREAT DUN FELL                ,S,Simulation application continuation,SEURD        DUF   EG2S    UN                                             W0001                                            ,1,cont#2_1_123
S,EUR,D,,,,,DVL,LF,11020,V HW,N49183870,E000184580,,,,E0000,,2,,,WGE,DEAUVILLE NORMANDIE,SEURD        DVL   LF111020V HW N49183870E000184580                       E0000     2     WGEDEAUVILLE NORMANDIE           ,S,Simulation application continuation,SEURD        DVL   LF2S    UN                                             E001300497                                       ,1,cont#2_1_123
S,EUR,D,,,,,DVR,EG,11495,VDL,N51094544,E001213271,,N51094544,E001213271,E0020,00325,1,,,WGE,DOVER,SEURD        DVR   EG111495VDL  N51094544E001213271    N51094544E001213271E0020003251     WGEDOVER                         ,S,Simulation application continuation,SEURD        DVR   EG2S    UN                                             E001500325                                       ,1,cont#2_1_123
S,EUR,D,,,,,EEL,EH,11240,VDH,N53095100,E006400030,,N53095100,E006400030,E0020,00001,2,,322,WGE,EELDE (GRONINGEN),SEURD        EEL   EH111240VDH  N53095100E006400030    N53095100E006400030E0020000012  322WGEEELDE (GRONINGEN)             ,S,Simulation application continuation,SEURD        EEL   EH2S    UN                                             E003100001                                       ,1,cont#2_1_123
S,EUR,D,,,,,EFD,ED,11205,DL,,,EFD,N50585740,E010572779,,01075,1,,220,WGE,ERFURT,SEURD        EFD   ED111205 DL                     EFD N50585740E010572779     010751  220WGEERFURT                        ,S,Simulation application continuation,SEURD        EFD   ED2S    UN                                             E0043                                            ,1,cont#2_1_123
S,EUR,D,,,,,EKO,EN,11530,DH,,,EKO,N56323219,E003132525,,00268,2,,253,WGE,EKOFISK-L,SEURD        EKO   EN111530 DH                     EKO N56323219E003132525     002682  253WGEEKOFISK-L                     ,S,Simulation application continuation,SEURD        EKO   EN2S    UN                                             E0019                                            ,1,cont#2_1_123
S,EUR,D,,,,,ELB,LI,11470,VTHW,N42435050,E010234460,,N42435020,E010234390,E0030,01388,2,,389,WGE,ELBA,SEURD        ELB   LI111470VTHW N42435050E010234460    N42435020E010234390E0030013882  389WGEELBA                          ,S,Simulation application continuation,SEURD        ELB   LI2S    UN                                             E003701388                                       ,1,cont#2_1_123
S,EUR,D,,,,,EPL,LF,11300,V HW,N48190420,E006033390,,,,E0020,,2,,,WGE,EPINAL MIRECOURT,SEURD        EPL   LF111300V HW N48190420E006033390                       E0020     2     WGEEPINAL MIRECOURT              ,S,Simulation application continuation,SEURD        EPL   LF2S    UN                                             E002901154                                       ,1,cont#2_1_123
