record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,CAN,P,G,CYKG,RW33,03520,3230,N61350950,W071551481,,00478,0000,52,100,,,SCANP CYKGCYGRW33    1035203230 N61350950W071551481         +0122000478000052100      0000                                 ,S,Simulation application continuation,SCANP CYKGCYGRW33    2S                            30100N        T00481                                                    
S,CAN,P,G,CYUB,RW10,04600,1070,N69261308,W133022668,,00007,0000,50,100,,,SCANP CYUBCYGRW10    1046001070 N69261308W133022668         -0004500007000050100      0000                                 ,S,Simulation application continuation,SCANP CYUBCYGRW10    2S                            12600N        T00013                                                    
S,CAN,P,G,CYUB,RW28,04600,2870,N69254627,W133004301,,00012,0000,50,100,,,SCANP CYUBCYGRW28    1046002870 N69254627W133004301         -0003200012000050100      0000                                 ,S,Simulation application continuation,SCANP CYUBCYGRW28    2S                            30600N        T00013                                                    
S,CAN,P,G,PABI,RW07,04057,0690,N63592928,W145434911,,01268,0000,50,088,,,SCANP PABIPAGRW07    1040570690 N63592928W145434911         +0399901268000050088      0000                                 ,S,Simulation application continuation,SCANP PABIPAGRW07    2S                            09207Y        T01268                                                    
S,CAN,P,G,PABI,RW25,04057,2490,N63592783,W145421823,,01257,0000,50,088,,,SCANP PABIPAGRW25    1040572490 N63592783W145421823         +0396601257000050088      0000                                 ,S,Simulation application continuation,SCANP PABIPAGRW25    2S                            27209Y        T01264                                                    
S,CAN,P,G,PAMC,RW16,05936,1599,N62572775,W155361880,,00343,0546,32,100,IMCG,,SCANP PAMCPAGRW16    1059361599 N62572775W155361880         +0113800343054632100 IMCG 0000                                 ,S,Simulation application continuation,SCANP PAMCPAGRW16    2S                            17891N        T00343                                                    
S,CAN,P,G,PAMC,RW34,05936,3399,N62564008,W155361682,,00341,0547,40,100,,,SCANP PAMCPAGRW34    1059363399 N62564008W155361682               00341054740100      0000                                 ,S,Simulation application continuation,SCANP PAMCPAGRW34    2S                            35891N        T00343                                                    
S,CAN,P,G,PPIZ,RW05,04500,0536,N69435030,W163011869,,00029,0000,35,100,,,SCANP PPIZPAGRW05    1045000536 N69435030W163011869               00029000035100      0000                                 ,S,Simulation application continuation,SCANP PPIZPAGRW05    2S                            06864N        T00029                                                    
S,CAN,P,G,PPIZ,RW23,04500,2336,N69440641,W162591976,,00018,0000,35,100,,,SCANP PPIZPAGRW23    1045002336 N69440641W162591976               00018000035100      0000                                 ,S,Simulation application continuation,SCANP PPIZPAGRW23    2S                            24867N        T00024                                                    
S,EEU,P,G,EYKL,RW07R,01640,0670,N55424100,E021142100,,00059,0000,40,069,,,SEEUP EYKLEYGRW07R   1016400670 N55424100E021142100               00059000040069      0000                                 ,S,Simulation application continuation,SEEUP EYKLEYGRW07R   2S                            07200Y        L00059                                                    
S,EEU,P,G,EYKL,RW25L,01640,2470,N55424600,E021144800,,00059,0000,40,069,,,SEEUP EYKLEYGRW25L   1016402470 N55424600E021144800               00059000040069      0000                                 ,S,Simulation application continuation,SEEUP EYKLEYGRW25L   2S                            25200Y        L00059                                                    
S,EEU,P,G,LHNY,RW18,03281,1750,N47591865,E021413288,,00338,0000,40,066,,,SEEUP LHNYLHGRW18    1032811750 N47591865E021413288         +0143300338000040066      0000                                 ,S,Simulation application continuation,SEEUP LHNYLHGRW18    2S                            18132Y        L00338                                                    
S,EEU,P,G,LHNY,RW36,03281,3550,N47584622,E021413177,,00338,0000,40,066,,,SEEUP LHNYLHGRW36    1032813550 N47584622E021413177         +0143300338000040066      0000                                 ,S,Simulation application continuation,SEEUP LHNYLHGRW36    2S                            00132Y        L00338                                                    
S,EEU,P,G,URKG,RW01,10171,0070,N44340656,E038002957,,00090,0000,54,148,IGN,,SEEUP URKGURGRW01    1101710070 N44340656E038002957               00090000054148 IGN  0000                                 ,S,Simulation application continuation,SEEUP URKGURGRW01    2S                            01410Y        T00110                                                    
S,EEU,P,G,URKG,RW19,10171,1870,N44354396,E038010383,,00131,0000,50,148,,,SEEUP URKGURGRW19    1101711870 N44354396E038010383               00131000050148      0000                                 ,S,Simulation application continuation,SEEUP URKGURGRW19    2S                            19411Y        L00131                                                    
S,EEU,P,G,UTFA,RW04,09793,0410,N40430332,E072164752,,01543,0000,47,144,IAN,,SEEUP UTFAUTGRW04    1097930410 N40430332E072164752               01543000047144 IAN  0164                                 ,S,Simulation application continuation,SEEUP UTFAUTGRW04    2S                            04568Y        L01543                                                    
S,EEU,P,G,UTFA,RW22,09793,2210,N40441085,E072181851,,01559,0000,50,144,,,SEEUP UTFAUTGRW22    1097932210 N40441085E072181851               01559000050144      0164                                 ,S,Simulation application continuation,SEEUP UTFAUTGRW22    2S                            22568Y        L01559                                                    
