record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,,,,,LXI,LF,10820,TH,,,LXI,N47465940,E006212560,E0020,00883,2,,375,WGE,LUXEUIL SAINT SAUVEUR,SEURD        LXI   LF110820 TH                     LXI N47465940E006212560E0020008832  375WGELUXEUIL SAINT SAUVEUR         ,S,Simulation application continuation,SEURD        LXI   LF2S    UN                                             E0030                                            
S,EUR,D,,,,,LYD,EG,11405,DH,,,LYD,N50595887,E000524318,,00030,2,,263,WGE,LYDD,SEURD        LYD   EG111405 DH                     LYD N50595887E000524318     000302  263WGELYDD                          ,S,Simulation application continuation,SEURD        LYD   EG2S    UN                                             E0014                                            
S,EUR,D,,,,,MAC,EG,11600,DH,,,MAC,N55254808,W005390149,,00122,2,,468,WGE,MACHRIHANISH,SEURD        MAC   EG111600 DH                     MAC N55254808W005390149     001222  468WGEMACHRIHANISH                  ,S,Simulation application continuation,SEURD        MAC   EG2S    UN                                             W0014                                            
S,EUR,D,,,,,MAG,ED,11045,VDHW,N51594196,E011473950,,N51594196,E011473950,E0030,00184,2,,254,WGE,MAGDEBURG,SEURD        MAG   ED111045VDHW N51594196E011473950    N51594196E011473950E0030001842  254WGEMAGDEBURG                     ,S,Simulation application continuation,SEURD        MAG   ED2S    UN                                             E0046                                            
S,EUR,D,,,,,MAH,ED,11520,VDHW,N48154835,E011184293,,N48154835,E011184293,E0030,01770,2,,245,WGE,MAISACH,SEURD        MAH   ED111520VDHW N48154835E011184293    N48154835E011184293E0030017702  245WGEMAISACH                       ,S,Simulation application continuation,SEURD        MAH   ED2S    UN                                             E0042                                            
S,EUR,D,,,,,MAM,EG,10870,TL,,,MAM,N52384916,E000333932,E0010,00102,1,,198,WGE,MARHAM,SEURD        MAM   EG110870 TL                     MAM N52384916E000333932E0010001021  198WGEMARHAM                        ,S,Simulation application continuation,SEURD        MAM   EG2S    UN                                             E0012                                            
S,EUR,D,,,,,MAR,EF,11470,VDH,N60082755,E019545194,,N60082755,E019545194,E0090,00118,2,,485,WGE,MARIE (MARIEHAMN),SEURD        MAR   EF111470VDH  N60082755E019545194    N60082755E019545194E0090001182  485WGEMARIE (MARIEHAMN)             ,S,Simulation application continuation,SEURD        MAR   EF2S    UN                                             E008500118                                       
S,EUR,D,,,,,MAR,LE,11260,VDHW,N37031910,W004562360,,N37031880,W004562320,W0010,02264,2,,338,WGE,MARTIN,SEURD        MAR   LE111260VDHW N37031910W004562360    N37031880W004562320W0010022642  338WGEMARTIN                        ,S,Simulation application continuation,SEURD        MAR   LE2S    UN                                             E0002                                            
S,EUR,D,,,,,MAS,EH,10860,VDH,N50581900,E005573750,,N50581900,E005573750,E0020,00300,2,,319,WGE,MAASTRICHT,SEURD        MAS   EH110860VDH  N50581900E005573750    N50581900E005573750E0020003002  319WGEMAASTRICHT                    ,S,Simulation application continuation,SEURD        MAS   EH2S    UN                                             E002900300                                       
S,EUR,D,,,,,MAY,EG,11790,VDL,N51010186,E000065804,,N51010186,E000065804,E0010,00384,1,,469,WGE,MAYFIELD,SEURD        MAY   EG111790VDL  N51010186E000065804    N51010186E000065804E0010003841  469WGEMAYFIELD                      ,S,Simulation application continuation,SEURD        MAY   EG2S    UN                                             E0011                                            
S,EUR,D,,,,,MBL,ES,11560,DH,,,MBL,N56162270,E016243250,,00114,2,,304,WGE,MORBYLANGA,SEURD        MBL   ES111560 DH                     MBL N56162270E016243250     001142  304WGEMORBYLANGA                    ,S,Simulation application continuation,SEURD        MBL   ES2S    UN                                             E0064                                            
S,EUR,D,,,,,MCM,EI,11440,DL,,,MCM,N53543720,W006540460,,01100,1,,539,WGE,MOHERCROM,SEURD        MCM   EI111440 DL                     MCM N53543720W006540460     011001  539WGEMOHERCROM                     ,S,Simulation application continuation,SEURD        MCM   EI2S    UN                                             W0017                                            
S,EUR,D,,,,,MCT,EG,11355,VDH,N53212529,W002154424,,N53212529,W002154424,E0000,00280,2,,465,WGE,MANCHESTER,SEURD        MCT   EG111355VDH  N53212529W002154424    N53212529W002154424E0000002802  465WGEMANCHESTER                    ,S,Simulation application continuation,SEURD        MCT   EG2S    UN                                             E000100280                                       
S,EUR,D,,,,,MDM,LF,10870,TH,,,MDM,N43543570,W000301560,E0000,00240,2,,314,WGE,MARSAN (MONT-DE-MARSAN),SEURD        MDM   LF110870 TH                     MDM N43543570W000301560E0000002402  314WGEMARSAN (MONT-DE-MARSAN)       ,S,Simulation application continuation,SEURD        MDM   LF2S    UN                                             E0013                                            
S,EUR,D,,,,,MEN,LF,11530,VDHW,N44363010,E003094470,,N44363000,E003094470,E0020,04514,2,,312,WGE,MENDE,SEURD        MEN   LF111530VDHW N44363010E003094470    N44363000E003094470E0020045142  312WGEMENDE                         ,S,Simulation application continuation,SEURD        MEN   LF2S    UN                                             E002204514                                       
S,EUR,D,,,,,MES,EN,11440,VDHW,N61055926,E010383402,,N61055926,E010383402,E0040,02307,2,,532,WGE,MESNALI,SEURD        MES   EN111440VDHW N61055926E010383402    N61055926E010383402E0040023072  532WGEMESNALI                       ,S,Simulation application continuation,SEURD        MES   EN2S    UN                                             E005002307                                       
S,EUR,D,,,,,MES,LG,11760,VDH,N38150625,E025542068,,N38150625,E025542068,E0060,01163,2,,439,WGE,MESTA,SEURD        MES   LG111760VDH  N38150625E025542068    N38150625E025542068E0060011632  439WGEMESTA                         ,S,Simulation application continuation,SEURD        MES   LG2S    UN                                             E005301163                                       
S,EUR,D,,,,,MGA,LE,11200,VDHW,N36485150,W004221050,,N36485100,W004221060,W0010,03346,2,,352,WGE,MALAGA,SEURD        MGA   LE111200VDHW N36485150W004221050    N36485100W004221060W0010033462  352WGEMALAGA                        ,S,Simulation application continuation,SEURD        MGA   LE2S    UN                                             E0003                                            
S,EUR,D,,,,,MHD,ED,11250,DL,,,MHD,N51140568,E006293109,,00151,1,,190,WGE,MOENCHENGLADBACH,SEURD        MHD   ED111250 DL                     MHD N51140568E006293109     001511  190WGEMOENCHENGLADBACH              ,S,Simulation application continuation,SEURD        MHD   ED2S    UN                                             E0031                                            
S,EUR,D,,,,,MHN,LE,11260,VDUW,N39514900,E004125870,,N39514910,E004125810,E0020,00295,2,,356,WGE,MENORCA,SEURD        MHN   LE111260VDUW N39514900E004125870    N39514910E004125810E0020002952  356WGEMENORCA                       ,S,Simulation application continuation,SEURD        MHN   LE2S    UN                                             E0023                                            
S,EUR,D,,,,,MHV,ED,10980,V HA,N51141428,E006292488,,,,E0030,,2,,,WGE,MOENCHENGLADBACH,SEURD        MHV   ED110980V HA N51141428E006292488                       E0030     2     WGEMOENCHENGLADBACH              ,S,Simulation application continuation,SEURD        MHV   ED2S    UN                                             E0031                                            
