record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,UTTT,UT,,IZW,UT,11170,ITDN,,,IZW,N41151320,E069155080,,01385,0,02,067,WGE,ISLAM KARIMOV,SEEUD UTTTUT IZW   UT111170 ITDN                   IZW N41151320E069155080     01385002067WGEISLAM KARIMOV                 ,S,Simulation application continuation,SEEUD UTTTUT IZW   UT2S    UN                                             E005601385                                       
S,EEU,D,,ZWWW,ZW,,IOY,ZW,10970,IT N,,,IOY,N43541585,E087272231,,02139,0,,419,WGE,DIWOPU,SEEUD ZWWWZW IOY   ZW110970 IT N                   IOY N43541585E087272231     021390  419WGEDIWOPU                        ,S,Simulation application continuation,SEEUD ZWWWZW IOY   ZW2S    UN                                             E002602139                                       
S,EEU,D,,ZWWW,ZW,,IRM,ZW,11030,IT N,,,IRM,N43544268,E087292819,,02139,0,,456,WGE,DIWOPU,SEEUD ZWWWZW IRM   ZW111030 IT N                   IRM N43544268E087292819     021390  456WGEDIWOPU                        ,S,Simulation application continuation,SEEUD ZWWWZW IRM   ZW2S    UN                                             E002602139                                       
S,EEU,D,B,,,,AN,UT,04220,H MW,N40413650,E072145080,,,,E0050,,,,,WGE,ANDIZHAN,SEEUDB       AN    UT104220H MW N40413650E072145080                       E0050           WGEANDIZHAN                      ,S,Simulation application continuation,SEEUDB       AN    UT2S     U24                                                                                            
S,EEU,D,B,,,,AVN,EY,03850,H L,N54405380,E025190730,,,,E0080,,,,,WGE,VILNIUS,SEEUDB       AVN   EY103850H L  N54405380E025190730                       E0080           WGEVILNIUS                       ,S,Simulation application continuation,SEEUDB       AVN   EY2S     U24                                                                                            
S,EEU,D,B,,,,N,LK,02580,H L,N49424752,E018081691,,,,E0060,,,,,WGE,NADA (OSTRAVA),SEEUDB       N     LK102580H L  N49424752E018081691                       E0060           WGENADA (OSTRAVA)                ,S,Simulation application continuation,SEEUDB       N     LK2S     U24                                                00844                                       
S,EEU,D,B,,,,OS,ZU,02410,H HW,N29510600,E106504800,,,,W0030,,,,,WGE,TONGJINGCHANG,SEEUDB       OS    ZU102410H HW N29510600E106504800                       W0030           WGETONGJINGCHANG                 ,S,Simulation application continuation,SEEUDB       OS    ZU2S     U21                                                                                            
S,EEU,D,B,,,,R,LK,05340,H L,N49404564,E018050264,,,,E0060,,,,,WGE,RADA (OSTRAVA),SEEUDB       R     LK105340H L  N49404564E018050264                       E0060           WGERADA (OSTRAVA)                ,S,Simulation application continuation,SEEUDB       R     LK2S     U24                                                00844                                       
S,EEU,D,B,,,,UC,ZB,03510,H MW,N49130600,E119574200,,,,W0110,,,,,WGE,XIHA,SEEUDB       UC    ZB103510H MW N49130600E119574200                       W0110           WGEXIHA                          ,S,Simulation application continuation,SEEUDB       UC    ZB2S     U14                                                                                            
S,EUR,D,,,,,AN,LF,11050,DT,,,AN,N43544140,E004540800,,00168,0,,235,WGE,AVIGNON CAUMONT,SEURD        AN    LF111050 DT                     AN  N43544140E004540800     001680  235WGEAVIGNON CAUMONT               ,S,Simulation application continuation,SEURD        AN    LF2S    UU                                             E0025                                            
