record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,UWOO,UW,,ILM,UW,10930,ITDN,,,ILM,N51474873,E055280863,,00392,0,02,453,WGE,ORENBURG,SEEUD UWOOUW ILM   UW110930 ITDN                   ILM N51474873E055280863     00392002453WGEORENBURG                      ,S,Simulation application continuation,SEEUD UWOOUW ILM   UW2S    UN                                             E012000392                                       
S,EEU,D,,UZFA,UT,,IAN,UT,11050,ITDN,,,IAN,N40431803,E072171517,,01548,0,02,141,WGE,ANDIJAN,SEEUD UZFAUT IAN   UT111050 ITDN                   IAN N40431803E072171517     01548002141WGEANDIJAN                       ,S,Simulation application continuation,SEEUD UZFAUT IAN   UT2S    UN                                             E005001548                                       
S,EEU,D,,UZFF,UT,,IZU,UT,10970,ITDN,,,IZU,N40220863,E071444909,,02100,0,01,151,WGE,FERGANA,SEEUD UZFFUT IZU   UT110970 ITDN                   IZU N40220863E071444909     02100001151WGEFERGANA                       ,S,Simulation application continuation,SEEUD UZFFUT IZU   UT2S    UN                                             E005002100                                       
S,EEU,D,,UZSA,UT,,IHG,UT,10930,ITDN,,,IHG,N40064592,E065090875,,01200,0,02,,WGE,NAVOI,SEEUD UZSAUT IHG   UT110930 ITDN                   IHG N40064592E065090875     01200002   WGENAVOI                         ,S,Simulation application continuation,SEEUD UZSAUT IHG   UT2S    UN                                             E005601200                                       
S,EEU,D,,UZSA,UT,,INL,UT,10870,ITDN,,,INL,N40071046,E065112721,,01200,0,02,342,WGE,NAVOI,SEEUD UZSAUT INL   UT110870 ITDN                   INL N40071046E065112721     01200002342WGENAVOI                         ,S,Simulation application continuation,SEEUD UZSAUT INL   UT2S    UN                                             E005601200                                       
S,EEU,D,,UZSS,UT,,IMZ,UT,10950,ITDN,,,IMZ,N39421393,E066580413,,02200,0,02,,WGE,SAMARKAND,SEEUD UZSSUT IMZ   UT110950 ITDN                   IMZ N39421393E066580413     02200002   WGESAMARKAND                     ,S,Simulation application continuation,SEEUD UZSSUT IMZ   UT2S    UN                                             E005302200                                       
S,EEU,D,,UZSS,UT,,ISD,UT,11070,ITDN,,,ISD,N39420626,E066594350,,02200,0,02,227,WGE,SAMARKAND,SEEUD UZSSUT ISD   UT111070 ITDN                   ISD N39420626E066594350     02200002227WGESAMARKAND                     ,S,Simulation application continuation,SEEUD UZSSUT ISD   UT2S    UN                                             E005302200                                       
S,EEU,D,,UZST,UT,,INO,UT,11030,ITDN,,,INO,N37172923,E067191415,,01100,0,02,104,WGE,TERMEZ INTL,SEEUD UZSTUT INO   UT111030 ITDN                   INO N37172923E067191415     01100002104WGETERMEZ INTL                   ,S,Simulation application continuation,SEEUD UZSTUT INO   UT2S    UN                                             E004401100                                       
S,EEU,D,,UZTP,UT,,IIS,UT,11150,IT N,,,IIS,N41183551,E069223476,,01583,0,,067,WGE,VOSTOCHNY,SEEUD UZTPUT IIS   UT111150 IT N                   IIS N41183551E069223476     015830  067WGEVOSTOCHNY                     ,S,Simulation application continuation,SEEUD UZTPUT IIS   UT2S    UN                                             E005601583                                       
S,EEU,D,,UZTP,UT,,IRZ,UT,10910,IT N,,,IRZ,N41185106,E069245837,,01583,0,,294,WGE,VOSTOCHNY,SEEUD UZTPUT IRZ   UT110910 IT N                   IRZ N41185106E069245837     015830  294WGEVOSTOCHNY                     ,S,Simulation application continuation,SEEUD UZTPUT IRZ   UT2S    UN                                             E005601583                                       
