record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,ARK,UA,11300,VDH,N50190400,E067011800,,N50190400,E067011800,E0100,01300,2,,463,WGE,ARKALYK,SEEUD        ARK   UA111300VDH  N50190400E067011800    N50190400E067011800E0100013002  463WGEARKALYK                       ,S,Simulation application continuation,SEEUD        ARK   UA2S    UN                                             E010301300                                       
S,EEU,D,,,,,ARL,UA,11360,VDH,N46493200,E061370500,,N46493200,E061370500,E0090,00300,2,,383,WGE,ARALSK,SEEUD        ARL   UA111360VDH  N46493200E061370500    N46493200E061370500E0090003002  383WGEARALSK                        ,S,Simulation application continuation,SEEUD        ARL   UA2S    UN                                             E008900300                                       
S,EEU,D,,,,,ARN,LR,10995,DH,,,ARN,N46224600,E027092400,,01900,2,,306,WGE,ARINI,SEEUD        ARN   LR110995 DH                     ARN N46224600E027092400     019002  306WGEARINI                         ,S,Simulation application continuation,SEEUD        ARN   LR2S    UN                                             E0068                                            
S,EEU,D,,,,,ASB,UT,11450,VDHW,N38001139,E058200800,,N38001139,E058200800,E0050,00700,2,,317,WGE,ASHGABAT,SEEUD        ASB   UT111450VDHW N38001139E058200800    N38001139E058200800E0050007002  317WGEASHGABAT                      ,S,Simulation application continuation,SEEUD        ASB   UT2S    UN                                             E005300700                                       
S,EEU,D,,,,,ASM,EE,11355,DH,,,ASM,N59124300,E026154800,,00800,2,,,WGE,ASSAMALLA,SEEUD        ASM   EE111355 DH                     ASM N59124300E026154800     008002     WGEASSAMALLA                     ,S,Simulation application continuation,SEEUD        ASM   EE2S    UN                                             E0104                                            
S,EEU,D,,,,,AST,UA,11440,VDHW,N51000560,E071260040,,N51000560,E071260040,E0100,01200,2,,,WGE,ASTANA,SEEUD        AST   UA111440VDHW N51000560E071260040    N51000560E071260040E0100012002     WGEASTANA                        ,S,Simulation application continuation,SEEUD        AST   UA2S    UN                                             E009901200                                       
S,EEU,D,,,,,AST,UR,11610,VDHW,N46165230,E048003300,,N46165230,E048003300,E0090,-0100,2,,597,WGE,ASTRAKHAN,SEEUD        AST   UR111610VDHW N46165230E048003300    N46165230E048003300E0090-01002  597WGEASTRAKHAN                     ,S,Simulation application continuation,SEEUD        AST   UR2S    UN                                             E0088-0100                                       
S,EEU,D,,,,,AT,US,11390,DH,,,AT,N57203200,E061553000,,00591,2,,405,WGE,ARTEMOVSKIY,SEEUD        AT    US111390 DH                     AT  N57203200E061553000     005912  405WGEARTEMOVSKIY                   ,S,Simulation application continuation,SEEUD        AT    US2S    UN                                             E0158                                            
S,EEU,D,,,,,ATA,UA,11640,VDH,N43222940,E077050700,,N43222940,E077050700,E0050,02200,2,,573,WGE,ALMATY,SEEUD        ATA   UA111640VDH  N43222940E077050700    N43222940E077050700E0050022002  573WGEALMATY                        ,S,Simulation application continuation,SEEUD        ATA   UA2S    UU                                             E005202200                                       
S,EEU,D,,,,,ATR,UA,11230,VDHW,N47083820,E051480540,,N47083820,E051480540,E0090,00001,2,,429,WGE,ATYRAU,SEEUD        ATR   UA111230VDHW N47083820E051480540    N47083820E051480540E0090000012  429WGEATYRAU                        ,S,Simulation application continuation,SEEUD        ATR   UA2S    UN                                             E009300001                                       
